img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,image_2.stopped,attempt.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.07405179995112121,0.07413830002769828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
,,,,,,,,,,,,,0.07417519995942712,0.07421690004412085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,0,0,0,0,0,0,6,0.09095189999789,,,,,,0.07886200002394617,1,0.09097380004823208,609496.9303577,2,0.0910553999710828,609496.9304243,3.089776000007987,5.139534799964167,5.072976800031029,5.123107000021264,5.139534799964167,4,5.13956160005182,609501.9789305,6.34400739998091,6.344096299959347,6.356686300016008,5,6.356716400012374,609503.1960876,10.089131399989128,10.089185999939218,10.1057760999538,6,10.105800400022417,609506.94517,12.088901899987832,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,1,1,0,0,1,1,5,12.105520399985835,,,,,,12.089074300020002,,,,2,12.105546399950981,609508.9449144,12.105520399985835,,14.08899159997236,14.135943099972792,14.140022999956273,4,14.140050200046971,609510.9794199,15.33975859999191,15.339798599947244,15.356053499970585,5,15.35607280000113,609512.1954406,19.08874779997859,19.088785900035873,19.105422999942675,6,19.105440699961036,609515.9448079,21.10413360001985,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,2,2,0,0,2,2,3,21.12314649997279,,,,,,21.104300900013186,,,,2,21.123190199956298,609517.9625624,21.12314649997279,,23.08849800005555,23.126481999992393,23.1388666999992,3,23.138883900013752,609519.9782518,24.338537500007078,24.338571000029333,24.355133299948648,5,24.35514899995178,609521.1945153,28.08836010005325,28.08839219994843,28.105143000022508,6,28.105162600055337,609524.9445304,30.089587699971162,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,3,3,0,0,3,3,1,30.106104200007394,,,,,,30.08969369996339,,,,2,30.10612609994132,609526.9454933,30.106104200007394,,32.08842339995317,32.12676150002517,32.1386887000408,3,32.138704500044696,609528.9780722,33.33867870003451,33.3387130999472,33.35529089998454,5,33.35530840000138,609530.1946754,37.08889619994443,37.08893129997887,37.105417000013404,6,37.10543390002567,609533.9448012,39.089012400014326,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,4,4,0,0,4,4,8,39.10549969994463,,,,,,39.089128499967046,,,,2,39.105523900012486,609535.9448915,39.10549969994463,,41.08978269994259,41.13638040004298,41.14032709994353,4,41.14034669997636,609537.9797149,42.33913139998913,42.3391796000069,42.355682000052184,5,42.35570099996403,609539.1950691,46.07514770003036,46.075179400038905,46.09140949998982,6,46.09143100003712,609542.9307995,48.08942350000143,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,5,5,0,0,5,5,9,48.106031300034374,,,,,,48.089563100016676,,,,2,48.106056999997236,609544.945425,48.106031300034374,,50.08951419999357,50.12843729997985,50.140841600019485,4,50.14085770002566,609546.9802257,51.33933180000167,51.33936320000794,51.355900099966675,5,51.35591299994849,609548.1952795,55.089365100022405,55.089394800015725,55.10618300002534,6,55.10620000003837,609551.9455675,57.08938809996471,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,6,6,0,0,6,6,4,57.106003000051714,,,,,,57.08948680001777,,,,2,57.10602089995518,609553.9453874,57.106003000051714,,59.08964370004833,59.126489100046456,59.141221400001086,3,59.141237600008026,609555.9806049,60.339175799977966,60.339208299992606,60.35635420004837,5,60.356370000052266,609557.1957366,64.08951920003165,64.08954860002268,64.10620229993947,6,64.10621919995174,609560.9455867,66.08953730005305,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,7,7,0,0,7,7,7,66.10583360004239,,,,,,66.08963830000721,,,,2,66.10585149994586,609562.9452186,66.10583360004239,,68.08961749996524,68.12712469999678,68.14070969994646,4,68.1407236000523,609564.9800903,69.33967210003175,69.33970350003801,69.35622860002331,5,69.35624220001046,609566.1956089,73.08935160003603,73.08938110002782,73.10597270005383,6,73.10598630004097,609569.9453526,75.0893791000126,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
