img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,attempt.stopped,image_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.07383499998832121,0.0739418999874033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
,,,,,,,,,,,,,0.07398739998461679,0.07405699999071658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,0,0,0,0,0,0,4,0.09998120000818744,,,,,,0.082276200002525,1,0.10000169998966157,522204.1058415,2,0.10004819999448955,522204.1058839,3.0837701999698766,5.133808300015517,5.0670729000121355,5.116491599997971,5.133808300015517,3,5.13384500000393,522209.139686,6.33423340000445,6.334290299972054,6.352776099985931,5,6.352801700006239,522210.3586419,10.086957100022119,10.087012399977539,10.103446499968413,6,10.103476999967825,522214.1093186,12.088766800006852,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,1,1,0,0,1,1,7,12.10334229998989,,,,,,12.088936800020747,,,,2,12.103382100001909,522216.1092221,12.10334229998989,,14.089001599990297,14.136415100016166,14.155040099984035,4,14.15507089998573,522218.160912,15.3346550000133,15.334702499967534,15.350776400009636,5,15.3507990000071,522219.3566379,19.08398389996728,19.08404350001365,19.100872199982405,6,19.100894699979108,522223.1067337,21.084343699971214,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,2,2,0,0,2,2,6,21.100005400017835,,,,,,21.08447659999365,,,,2,21.100029200024437,522225.1058668,21.100005400017835,,23.085456600005273,23.13163600000553,23.151782999979332,4,23.15183980000438,522227.15918,24.33384410000872,24.333889100002125,24.350187000003643,5,24.35020970000187,522228.356049,28.0836205999949,28.083662200020626,28.1028907999862,6,28.10291389998747,522232.1087537,30.08375160000287,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,3,3,0,0,3,3,1,30.100191999983508,,,,,,30.083917299984023,,,,2,30.100225500005763,522234.1060654,30.100191999983508,,32.084120900020935,32.12664189998759,32.134639900003094,3,32.13466510002036,522236.1405045,33.33395030000247,33.33399489999283,33.35108290001517,5,33.3511056000134,522237.3569451,37.08415960002458,37.08421030000318,37.10069290001411,6,37.10071169998264,522241.1065497,39.087693899986334,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,4,4,0,0,4,4,3,39.10071500000777,,,,,,39.087839199986774,,,,2,39.10074409999652,522243.1065834,39.10071500000777,,41.08406650001416,41.128722699999344,41.13805800001137,3,41.13807839999208,522245.1439173,42.333934399997815,42.333966800011694,42.35136400000192,5,42.35138750000624,522246.3572269,46.08466130000306,46.08469980000518,46.10352130001411,6,46.103551500011235,522250.1093918,48.08528960001422,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,5,5,0,0,5,5,0,48.10353760002181,,,,,,48.08540420001373,,,,2,48.103576299967244,522252.109417,48.10353760002181,,50.08492390002357,50.12503709999146,50.13389029999962,3,50.13391450000927,522254.1397534,51.335224199981894,51.335261299973354,51.35096399998292,5,51.35099110001465,522255.3568312,55.08435030002147,55.084382199973334,55.101364200003445,6,55.101381900021806,522259.1072204,57.08529509999789,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,6,6,0,0,6,6,2,57.101266900019255,,,,,,57.085456100001466,,,,2,57.10129169997526,522261.1071304,57.101266900019255,,59.08487399999285,59.12604339997051,59.13597629999276,3,59.13600110000698,522263.1418411,60.33484159997897,60.33489619998727,60.35194219998084,5,60.35197169997264,522264.3578117,64.08496200002264,64.08500810002442,64.10246149997693,6,64.10249660001136,522268.1083414,66.08580070000608,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,7,7,0,0,7,7,8,66.1013531999779,,,,,,66.08596090000356,,,,2,66.10137789999135,522270.1072162,66.1013531999779,,68.08493429998634,68.12454589997651,68.1366212000139,4,68.1366515000118,522272.1424915,69.33567469997797,69.33572470000945,69.35197119996883,5,69.3519995000097,522273.3578395,73.08590940001886,73.08595719997538,73.10215280001285,6,73.10218629997689,522277.1080271,75.07528709998587,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
