img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.09118129999842495,0.09128449996933341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
,,,,,,,,,,,,,0.0913299999665469,0.0913726999424398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,0,0,0,0,0,0,6,0.09998769999947399,,,,,,0.09536499995738268,1,0.10000839992426336,612480.2856069,2,0.1000486999982968,612480.2856436,3.1004593999823555,5.133454299997538,5.083511599921621,5.12462409993168,5.133454299997538,4,5.133475299924612,612485.3190721,6.350175299914554,6.350204900023527,6.367089799954556,5,6.367107399972156,612486.5527044,10.100269499933347,10.100300899939612,10.116883300011978,6,10.116900800028816,612490.3024973,12.100346899940632,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,1,1,0,0,1,1,4,12.116918599931523,,,,,,12.100453299935907,,,,2,12.116940999985673,612492.3025383,12.116918599931523,,14.100428699981421,14.137156400014646,14.15139899996575,3,14.15141659998335,612494.3370143,15.350495900027454,15.350530199939385,15.366988299996592,5,15.36700650001876,612495.5526046,19.100453899940476,19.10048589995131,19.117087699938565,6,19.117104799952358,612499.3027024,21.100550499977544,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,2,2,0,0,2,2,3,21.117053400026634,,,,,,21.100651599932462,,,,2,21.11707719997503,612501.3026747,21.117053400026634,,23.100531699950807,23.13641319994349,23.151703899959102,3,23.15172059996985,612503.3373181,24.35063280002214,24.350665799924172,24.36720370000694,5,24.36722000001464,612504.552817,28.100786999915726,28.100835399935022,28.117350699962117,6,28.117369599989615,612508.3029679,30.10066330002155,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,3,3,0,0,3,3,5,30.11727099993732,,,,,,30.10076299996581,,,,2,30.117295800009742,612510.3028943,30.11727099993732,,32.1007395000197,32.13784089998808,32.15180370002054,4,32.15182119992096,612512.3374188,33.35080759995617,33.35084059997462,33.367329599917866,5,33.36734679993242,612513.5529434,37.100788999930955,37.100820699939504,37.11735970003065,6,37.11737709993031,612517.3029742,39.10087650001515,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,4,4,0,0,4,4,7,39.11746400000993,,,,,,39.100978199974634,,,,2,39.11748739995528,612519.3030851,39.11746400000993,,41.100878799916245,41.13776760001201,41.15263889997732,4,41.15265709999949,612521.3382549,42.35098729992751,42.35101929993834,42.367494700010866,5,42.36751100001857,612522.5531083,46.10103859996889,46.101070099975914,46.11756149993744,6,46.11757779994514,612526.3031755,48.10099700000137,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,5,5,0,0,5,5,8,48.11763280001469,,,,,,48.101097199949436,,,,2,48.11765579995699,612528.3032533,48.11763280001469,,50.10132999997586,50.13812539994251,50.1525131999515,4,50.15253449999727,612530.3381337,51.351104700006545,51.35113620001357,51.36771649995353,5,51.36773389996961,612531.5533314,55.10112769994885,55.101161999977194,55.1178888999857,6,55.11790830001701,612535.3035075,57.101173399947584,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,6,6,0,0,6,6,1,57.117793199955486,,,,,,57.10128629999235,,,,2,57.11781640001573,612537.3034137,57.117793199955486,,59.101647099945694,59.13794980000239,59.15230610000435,3,59.152323900023475,612539.3379218,60.35133259999566,60.35136580001563,60.367841799976304,5,60.367859499994665,612540.5534567,64.10129549994599,64.10132709995378,64.11791679996531,6,64.1179338999791,612544.303531,66.10146609996445,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,7,7,0,0,7,7,2,66.11799319996499,,,,,,66.10156909993384,,,,2,66.11801729991566,612546.3036154,66.11799319996499,,68.10148479999043,68.13879599992651,68.1526681999676,3,68.15269509993959,612548.3382956,69.35147210001014,69.35150490002707,69.36801199999172,5,69.36802910000551,612549.5536262,73.10150989994872,73.10154119995423,73.11805609997828,6,73.11807369999588,612553.303671,75.10154119995423,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
