img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,Rest.stopped,REST_code,REST_tGlob,REST_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.08727820008061826,0.08736200002022088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
,,,,,,,,,,,,,0.08739750017412007,0.08743569999933243,,,,,,,,,,,,,,,,,,,,,,,,,,,,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,0,0,0,0,0,0,2,0.09536390006542206,,,,,,0.09252800000831485,1,0.09539040015079081,1236852.2795406,2,0.09543850016780198,1236852.2795851,5.0953588001430035,7.131825200049207,7.083359000040218,7.127001899993047,7.131825200049207,3,7.131846700096503,1236859.3159959,8.351633199956268,8.351681400090456,8.368259600130841,5,8.368281100178137,1236860.55243,12.091796000022441,12.09183120005764,12.091886500129476,,,,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,1,1,0,0,1,1,5,12.108422999968752,,,,,,12.092003599973395,,,,2,12.108502499992028,1236864.2926489,12.108422999968752,,14.095372800016776,14.134374000132084,14.138496000086889,4,14.138509500073269,1236866.3226578,15.347996599972248,15.348032200010493,15.364347700029612,5,15.364368400070816,1236867.5485169,19.104659900069237,19.104698500130326,19.10478790011257,6,12.108446000143886,1236864.2925949,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,2,2,0,0,2,2,8,19.121151400031522,,,,,,19.10490410006605,,,,2,19.12125220010057,1236871.3054457,19.121151400031522,,21.108068300178275,21.162421399960294,21.16828009998426,4,21.16830540006049,1236873.3524559,22.360779700102285,22.360825000097975,22.377305899979547,5,22.377338299993426,1236874.5614902,26.117277200100943,26.117314500035718,26.117375600151718,6,19.121173599967733,1236871.3053232,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,3,3,0,0,3,3,4,26.13403009995818,,,,,,26.11748749995604,,,,2,26.134125099983066,1236878.3182982,26.13403009995818,,28.120951700024307,28.15763509995304,28.162361799972132,3,28.162388500059023,1236880.3465378,29.37315050000325,29.373187400167808,29.389746100176126,5,29.389771500136703,1236881.5739209,33.12996829999611,33.13000150001608,33.13004940003157,6,26.134055000031367,1236878.3182038,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,4,4,0,0,4,4,9,33.14679910009727,,,,,,33.13015860016458,,,,2,33.14688160014339,1236885.33103,33.14679910009727,,35.13367970008403,35.17138610011898,35.175457400036976,4,35.17547340015881,1236887.3596223,36.38592789997347,36.385962900007144,36.402647900162265,5,36.40267300000414,1236888.5868239,40.14276310009882,40.14280360005796,40.14287320012227,6,33.14682010002434,1236885.3309689,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,5,5,0,0,5,5,7,40.15977489994839,,,,,,40.14299000008032,,,,2,40.159870099974796,1236892.3440196,40.15977489994839,,42.14658000017516,42.19270520005375,42.1971883000806,4,42.19721290003508,1236894.3813626,43.39872739999555,43.398763300152496,43.41550330002792,5,43.41552549996413,1236895.5996742,47.155602500075474,47.15564000001177,47.155695900088176,6,40.15979800000787,1236892.3439485,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,6,6,0,0,6,6,1,47.17235040012747,,,,,,47.15581150003709,,,,2,47.17247540014796,1236899.3566288,47.17235040012747,,49.159361000172794,49.202091300161555,49.206187300151214,3,49.20620070002042,1236901.3903491,50.41151490015909,50.41155720013194,50.428187400102615,5,50.42821210017428,1236902.6123612,54.16856570006348,54.168626400176436,54.16871670004912,6,47.17237469996326,1236899.3565306,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,7,7,0,0,7,7,0,54.184972000075504,,,,,,54.16908060014248,,,,2,54.18508359999396,1236906.369234,54.184972000075504,,56.17197740008123,56.21940480009653,56.22370730014518,3,56.22373560001142,1236908.4078857,57.424551900010556,57.42461650003679,57.441231300123036,5,57.441259500104934,1236909.6254104,61.1811584001407,61.1811981999781,61.18125619995408,6,54.18499970017001,1236906.3691494,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,8,8,0,0,8,8,6,61.197905800072476,,,,,,61.18136990000494,,,,2,61.1980817001313,1236913.3822318,61.197905800072476,,63.184775799978524,63.22771849995479,63.232002099975944,4,63.232022600015625,1236915.4161722,64.4380030001048,64.43810200016014,64.45422580000013,5,64.45428950013593,1236916.6384554,68.19386600004509,68.19390750001185,68.19397330004722,6,61.197952300077304,1236913.382107,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,9,9,0,0,9,9,3,68.21051870007068,,,,,,68.19408929999918,,,,2,68.21063550002873,1236920.3947862,68.21051870007068,,70.19764220016077,70.23566420003772,70.23960640002042,3,70.23962030000985,1236922.4237688,71.44998120004311,71.45002029999159,71.46650260011666,5,71.46652530017309,1236923.6506748,75.20673800003715,75.20677600009367,75.20683900010772,6,68.21054180013016,1236920.3946926,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,10,0,1,1,0,10,6,75.22336920001544,,,,,,75.20696000009775,,,,2,75.22348499996588,1236927.4076359,75.22336920001544,,77.21037159999833,77.2533482001163,77.25756620010361,4,77.25759449996985,1236929.4417473,78.46333960001357,78.463385600131,78.48383380006999,5,78.48385760001838,1236930.668007,82.22027940000407,82.22034810017794,82.22045639995486,6,75.22339270007797,1236927.4075427,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,11,1,1,1,1,11,4,82.23614050005563,,,,,,82.22064019995742,,,,2,82.23621720005758,1236934.4203637,82.23614050005563,,84.22317110002041,84.2653728001751,84.26923660002649,3,84.269251300022,1236936.4534001,85.47552840015851,85.47556730010547,85.49349960009567,5,85.49352370016277,1236937.6776731,89.23218680010177,89.2322240001522,89.23228560015559,6,82.23616060009226,1236934.4203094,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,12,2,1,1,2,12,7,89.24898060015403,,,,,,89.23240580013953,,,,2,89.24906220007688,1236941.4332087,89.24898060015403,,91.23609780007973,91.27458610013127,91.27853180002421,4,91.27854610001668,1236943.4626949,92.48829869995825,92.48833580012433,92.5049764001742,5,92.50500360014848,1236944.6891537,96.2458242001012,96.24592850008048,96.24613280012272,6,89.24900229997002,1236941.4331516,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,13,3,1,1,3,13,8,96.26261169998907,,,,,,96.24649249995127,,,,2,96.26283859997056,1236948.4469936,96.26261169998907,,98.250645800028,98.2935830000788,98.29763270006515,4,98.29765830002725,1236950.4818081,99.50110480003059,99.50115200015716,99.51762930001132,5,99.5176509001758,1236951.7018001,103.25789980008267,103.25794250005856,103.25800200016238,6,96.2626714000944,1236948.4468308,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,14,4,1,1,4,14,3,103.27510840003379,,,,,,103.25811289995909,,,,2,103.27537870011292,1236955.459544,103.27510840003379,,105.26158479996957,105.29810969997197,105.3020120000001,3,105.30202970001847,1236957.4861783,106.51430699997582,106.51436430006288,106.53042339999229,5,106.53045339998789,1236958.7146059,110.27102350001223,110.27107610017993,110.27115630009212,6,103.27517010015436,1236955.4593295,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
