img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,attempt.stopped,image_2.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.08749990002252162,0.08757329999934882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
,,,,,,,,,,,,,0.08760550001170486,0.08764150005299598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,0,0,0,0,0,0,0,0.10734280000906438,,,,,,0.09269730001688004,1,0.10736410005483776,955756.3888951,2,0.1074093000497669,955756.3889373,3.0910881999880075,5.141718200058676,5.07419990003109,5.125705600017682,5.141718200058676,3,5.141749299946241,955761.4232813,6.340997199993581,6.341041799983941,6.357291299966164,5,6.357321899966337,955762.6388556,10.094484100001864,10.094541099970229,10.107684700051323,6,10.10771560005378,955766.3892498,12.090142500004731,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,1,1,0,0,1,1,4,12.106579800019972,,,,,,12.090284900041297,,,,2,12.106606299988925,955768.3881375,12.106579800019972,,14.090460899984464,14.134481200017035,14.141891999985091,3,14.141912800027058,955770.4234442,15.340457099955529,15.340497300028801,15.357264499994926,5,15.357285000034608,955771.6388156,19.09084790002089,19.090897800051607,19.10598720004782,6,19.106004099943675,955775.3875344,21.09154990001116,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,2,2,0,0,2,2,5,21.107667300035246,,,,,,21.09180249995552,,,,2,21.10771630005911,955777.3892513,21.107667300035246,,23.090272999950685,23.136821000021882,23.15942859998904,4,23.15946029999759,955779.4409941,24.34024639998097,24.340292099979706,24.356717200018466,5,24.356739499955438,955780.6382704,28.090823799953796,28.090891400002874,28.106739099952392,6,28.10676750005223,955784.3883006,30.08883689995855,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,3,3,0,0,3,3,2,30.108506600023247,,,,,,30.088966600014828,,,,2,30.10854379995726,955786.3900755,30.108506600023247,,32.089075800031424,32.134828499983996,32.14053149998654,3,32.14055470004678,955788.4220856,33.3397523999447,33.339792700018734,33.356006899964996,5,33.35602880001534,955789.63756,37.08865940000396,37.0886998999631,37.10668770002667,6,37.1067245999584,955793.3882607,39.08893550001085,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,4,4,0,0,4,4,6,39.1057623999659,,,,,,39.08907200000249,,,,2,39.10579019994475,955795.3873212,39.1057623999659,,41.088383800000884,41.133216400048696,41.13958079996519,4,41.13960080000106,955797.4211314,42.338433300028555,42.338472399977036,42.35882229998242,5,42.358876200043596,955798.6404166,46.09286910004448,46.09294030000456,46.105728000053205,6,46.10574899998028,955802.3872799,48.08811050001532,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,5,5,0,0,5,5,8,48.107267800020054,,,,,,48.08824109996203,,,,2,48.10731820005458,955804.3888543,48.107267800020054,,50.08796929998789,50.13226720003877,50.139078699983656,4,50.13909850001801,955806.4206293,51.33865970000625,51.33869889995549,51.35517879994586,5,51.355200799996965,955807.6367319,55.08846490003634,55.08850359998178,55.10489900002722,6,55.10491859994363,955811.3864492,57.08771310001612,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,6,6,0,0,6,6,3,57.10452070005704,,,,,,57.08784579997882,,,,2,57.10454860003665,955813.3860798,57.10452070005704,,59.08810419996735,59.13181529997382,59.13924219994806,3,59.13926289998926,955815.4207937,60.33861380000599,60.33865249995142,60.35467100003734,5,60.35469369997736,955816.636225,64.0873442000011,64.08738329994958,64.10439800005406,6,64.1044292000588,955820.3859609,66.08709379995707,64.10439800005406,66.10366959997918,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,7,7,0,0,7,7,9,66.10366959997918,,,,,,66.08721030002926,,,,2,66.10370019997936,955822.3852311,66.10366959997918,68.1382811999647,68.08698010002263,68.13150070002303,68.1382811999647,4,68.13831069995649,955824.419842,69.33797300001606,69.33801229996607,69.35415489994921,5,69.35417539998889,955825.6357063,73.08690650004428,73.08693959994707,73.10325839999132,6,73.10328569996636,955829.384817,75.08662950003054,73.10325839999132,75.10314060002565,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
