img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.04764229999955205,0.04770539999981338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359217,001,2026-05-07_13h20.15.907,Graz,,2025.1.1,60.013491032788316,2026-05-07 13h21.02.125727 -0300,
,,,,,,,,,,,,,0.04773169999998572,0.04776729999957752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359217,001,2026-05-07_13h20.15.907,Graz,,2025.1.1,60.013491032788316,2026-05-07 13h21.02.125727 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,0,0,0,0,0,0,2,0.056635199999618635,,,,,,0.051782299999558745,1,0.05665359999966313,3885.9121284,2,0.05669429999989006,3885.9121657,3.055275299999721,5.108301599999777,5.041790399999627,5.089854999999716,5.108301599999777,3,5.108323299999938,3890.963797,6.305789799999729,6.305819599999722,6.322295799999665,5,6.322311699999773,3892.177785,10.055278099999668,10.055310399999598,10.071982699999808,6,10.072000799999842,3895.9274747,12.055342799999835,359217,001,2026-05-07_13h20.15.907,Graz,,2025.1.1,60.013491032788316,2026-05-07 13h21.02.125727 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,1,1,0,0,1,1,3,12.071748899999875,,,,,,12.055456799999774,,,,2,12.071771199999603,3897.927245,12.071748899999875,,14.572106899999653,14.60873969999966,14.622168699999747,3,14.622184599999855,3900.4776573,15.305327799999759,15.305359099999805,15.321891199999754,5,15.321907599999577,3901.1773809,19.055439699999624,19.055468299999575,19.07203819999995,6,19.072052099999837,3904.9275256,21.05570119999993,359217,001,2026-05-07_13h20.15.907,Graz,,2025.1.1,60.013491032788316,2026-05-07 13h21.02.125727 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,2,2,0,0,2,2,7,21.07229739999957,,,,,,21.055804099999932,,,,2,21.072321799999827,3906.9277965,21.07229739999957,,23.055463699999564,23.0968026999999,23.107011799999782,4,23.1070265999997,3908.9624995,24.305546199999753,24.30557859999999,24.322440399999778,5,24.322456599999896,3910.1779299,28.05560669999977,28.055636399999912,28.072283999999854,6,28.07229789999974,3913.9277713,30.0557160999997,359217,001,2026-05-07_13h20.15.907,Graz,,2025.1.1,60.013491032788316,2026-05-07 13h21.02.125727 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,3,3,0,0,3,3,1,30.072363499999938,,,,,,30.055818499999987,,,,2,30.072383499999887,3915.927857,30.072363499999938,,32.05565089999982,32.09168409999984,32.10691249999991,3,32.10692769999969,3917.962401,33.305763899999874,33.30579429999989,33.322407999999996,5,33.322424299999966,3919.1778972,37.05640679999988,37.056438699999944,37.0725981999999,6,37.07261579999977,3922.9280888,39.05586499999981,359217,001,2026-05-07_13h20.15.907,Graz,,2025.1.1,60.013491032788316,2026-05-07 13h21.02.125727 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,4,4,0,0,4,4,5,39.07247709999956,,,,,,39.05596979999973,,,,2,39.07249749999983,3924.9279703,39.07247709999956,,41.05596589999959,41.09317969999984,41.10710569999992,4,41.107120099999975,3926.9625929,42.30598729999974,42.306018199999926,42.32255019999957,5,42.32256409999991,3928.1780378,46.05599489999986,46.056024499999694,46.072599399999945,6,46.07261299999982,3931.9280859,48.05608749999965,359217,001,2026-05-07_13h20.15.907,Graz,,2025.1.1,60.013491032788316,2026-05-07 13h21.02.125727 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,5,5,0,0,5,5,8,48.072651199999655,,,,,,48.05618719999984,,,,2,48.07266949999985,3933.9281424,48.072651199999655,,50.05648849999989,50.09334349999972,50.10789849999992,4,50.10791389999986,3935.9633866,51.30620349999981,51.306237099999635,51.322749499999645,5,51.32276359999969,3937.1782369,55.056596799999625,55.056627599999956,55.07320009999967,6,55.07321439999987,3940.9286871,57.05620269999963,359217,001,2026-05-07_13h20.15.907,Graz,,2025.1.1,60.013491032788316,2026-05-07 13h21.02.125727 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,6,6,0,0,6,6,9,57.07289269999956,,,,,,57.0563044999999,,,,2,57.072913499999686,3942.9283869,57.07289269999956,,59.0562404999996,59.09308409999994,59.107508999999936,4,59.107524099999864,3944.9629974,60.306339899999784,60.30637079999997,60.322868099999596,5,60.322880399999576,3946.1783531,64.05635519999987,64.0563831999998,64.07304209999984,6,64.07305629999973,3949.9285298,66.05639169999995,359217,001,2026-05-07_13h20.15.907,Graz,,2025.1.1,60.013491032788316,2026-05-07 13h21.02.125727 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,7,7,0,0,7,7,4,66.07304469999963,,,,,,66.05648989999963,,,,2,66.07306429999971,3951.9285381,66.07304469999963,,68.05648929999961,68.09251899999981,68.10769709999977,3,68.10771289999957,3953.9631872,69.30655719999959,69.30658829999993,69.32315409999956,5,69.32317009999997,3955.1786437,73.05660399999988,73.0566343999999,73.07320759999993,6,73.07322189999968,3958.9286955,75.05664409999963,359217,001,2026-05-07_13h20.15.907,Graz,,2025.1.1,60.013491032788316,2026-05-07 13h21.02.125727 -0300,
