img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,attempt.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.08519639982841909,0.08527069981209934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
,,,,,,,,,,,,,0.08530269982293248,0.08533969987183809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,0,0,0,0,0,0,3,0.10232009994797409,,,,,,0.09000159986317158,1,0.1023792999330908,1276601.767957,2,0.10250499984249473,1276601.7680748,3.0899809999391437,5.144857899984345,5.076132599962875,5.1302416999824345,5.144857899984345,3,5.144884399836883,1276606.81045,6.345482699805871,6.345517099834979,6.3613086999394,5,6.361330499872565,1276608.0268959,10.090450499905273,10.090559999924153,10.109994099941105,6,10.11005109990947,1276611.7756278,12.0894141998142,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,1,1,0,0,1,1,5,12.106822799891233,,,,,,12.089558399980888,,,,2,12.106850999873132,1276613.7724167,12.106822799891233,,14.092894499888644,14.140222399961203,14.160116699989885,4,14.160137899918482,1276615.8257056,15.353183300001547,15.353270899970084,15.362301399931312,5,15.362323199864477,1276617.0278884,19.10166409984231,19.10171499988064,19.11919469991699,6,19.11921519995667,1276620.7847805,21.089072299888358,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,2,2,0,0,2,2,0,21.108190699946135,,,,,,21.089206999866292,,,,2,21.108221399830654,1276622.7737872,21.108190699946135,,23.092850899789482,23.137517999857664,23.144923399901018,3,23.144943499937654,1276624.8105092,24.344593499787152,24.344632599968463,24.360849999822676,5,24.360870399978012,1276626.0264353,28.087798699969426,28.087840599939227,28.103480499936268,6,28.10351199982688,1276629.7690808,30.090706899994984,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,3,3,0,0,3,3,8,30.10642269998789,,,,,,30.090834899805486,,,,2,30.106449899962172,1276631.7720153,30.10642269998789,,32.092308699851856,32.14019849989563,32.159535499988124,4,32.15955679980107,1276633.8251221,33.344613099936396,33.3446497998666,33.36089439992793,5,33.36091549997218,1276635.0264803,37.085908100008965,37.08594629983418,37.10797799983993,6,37.108000999782234,1276638.7735667,39.08950689993799,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,4,4,0,0,4,4,1,39.10490119992755,,,,,,39.08963889977895,,,,2,39.10493019991554,1276640.7704959,39.10490119992755,,41.091965899802744,41.136586599983275,41.144147999817505,3,41.1441697999835,1276642.8097353,42.34435169980861,42.344389599980786,42.36029849993065,5,42.360318899853155,1276644.0258839,46.101927999872714,46.10197029984556,46.117908999789506,6,46.11793479998596,1276647.7835013,48.089673899812624,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,5,5,0,0,5,5,2,48.106048399815336,,,,,,48.0899613997899,,,,2,48.10607649991289,1276649.7716419,48.106048399815336,,50.0916172999423,50.138883699895814,50.15996859990992,3,50.159990599844605,1276651.8255552,51.34487809985876,51.34491689992137,51.36075819982216,5,51.36078029987402,1276653.0263454,55.10389309981838,55.10397099982947,55.117055599810556,6,55.11707659997046,1276656.782641,57.088737099897116,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,6,6,0,0,6,6,9,57.10514809982851,,,,,,57.08896079985425,,,,2,57.10517659992911,1276658.770742,57.10514809982851,,59.09132589981891,59.13810699991882,59.15948219993152,4,59.159502499969676,1276660.8250679,60.343717199983075,60.343755499925464,60.359638299793005,5,60.35966039984487,1276662.0252263,64.10232349997386,64.10236569982953,64.11807419988327,6,64.118096599821,1276665.7836618,66.08736689994112,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,7,7,0,0,7,7,7,66.10337479994632,,,,,,66.08749739988707,,,,2,66.10340559994802,1276667.7689716,66.10337479994632,,68.09091009991243,68.14140709978528,68.15943359979428,4,68.15945499995723,1276669.8250206,69.33550919988193,69.33562329993583,69.34646569984034,5,69.34649069979787,1276671.0120566,73.08343879994936,73.08347439998761,73.10352229978889,6,73.10356099996716,1276674.7691282,75.0868865000084,73.10352229978889,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
