img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,Rest.stopped,REST_code,REST_tGlob,REST_tLSL,attempt.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.07827799999995477,0.07839160000003176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370483,001,2025-09-02_16h20.54.906,Graz,,2025.1.1,59.831084881463966,2025-09-02 16h21.01.958699 -0300,
,,,,,,,,,,,,,0.07844609999938257,0.07852329999968788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370483,001,2025-09-02_16h20.54.906,Graz,,2025.1.1,59.831084881463966,2025-09-02 16h21.01.958699 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,0,0,0,0,0,0,4,0.09982709999985673,,,,,,0.08398729999953503,1,0.09984720000011293,4502.7612074,2,0.09991029999946477,4502.7612675,5.081858999999895,7.135169600000154,7.067059699999845,7.1201391999993575,7.135169600000154,3,7.135203699999693,4509.7965639,8.333994999999959,8.334054599999945,8.349158199999692,5,8.349201399999401,4511.0105753,12.082234599999538,12.082281299999522,12.082369099999596,,,,,370483,001,2025-09-02_16h20.54.906,Graz,,2025.1.1,59.831084881463966,2025-09-02 16h21.01.958699 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,1,1,0,0,1,1,2,12.099350399999821,,,,,,12.082507600000099,,,,2,12.099463699999433,4514.7608218,12.099350399999821,14.134134199999608,14.082423099999687,14.126679299999523,14.134134199999608,3,14.134173200000077,4516.7955346,15.333985599999323,15.334105399999316,15.348916199999621,5,15.348933499999475,4518.0102907,19.08212689999982,19.08216749999974,19.08222190000015,6,12.099383299999317,4514.7607486,19.098904699999366,370483,001,2025-09-02_16h20.54.906,Graz,,2025.1.1,59.831084881463966,2025-09-02 16h21.01.958699 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,2,2,0,0,2,2,1,19.098904699999366,,,,,,19.082346199999847,,,,2,19.09899619999942,4521.7603541,19.098904699999366,,21.082299599999715,21.126033099999404,21.13878349999959,3,21.138818499999616,4523.8001785,22.332499999999527,22.332554300000083,22.350163000000066,5,22.350190099999963,4525.0115503,26.08262719999948,26.08266899999944,26.08275270000013,6,19.09894290000011,4521.7603018,,370483,001,2025-09-02_16h20.54.906,Graz,,2025.1.1,59.831084881463966,2025-09-02 16h21.01.958699 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,3,3,0,0,3,3,5,26.09912379999969,,,,,,26.08289009999953,,,,2,26.099258599999303,4528.7606162,26.09912379999969,,28.082904199999575,28.127194300000156,28.135527599999477,4,28.135556399999587,4530.7969165,29.333462699999473,29.333548399999927,29.348968299999797,5,29.348992700000053,4532.0103529,33.0833775000001,33.08342589999938,33.083503500000006,6,26.09917510000014,4528.7605565,,370483,001,2025-09-02_16h20.54.906,Graz,,2025.1.1,59.831084881463966,2025-09-02 16h21.01.958699 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,4,4,0,0,4,4,6,33.09942769999998,,,,,,33.08366029999979,,,,2,33.09951159999946,4535.7608686,33.09942769999998,35.15121999999974,35.08281540000007,35.130492799999956,35.15121999999974,4,35.151257099999384,4537.812618,36.33694379999997,36.336997899999915,36.34918219999963,5,36.34920509999938,4539.0105647,40.082639899999776,40.08267789999991,40.08272719999968,6,33.0994541,4535.7608136,40.09985460000007,370483,001,2025-09-02_16h20.54.906,Graz,,2025.1.1,59.831084881463966,2025-09-02 16h21.01.958699 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,5,5,0,0,5,5,7,40.09985460000007,,,,,,40.082858299999316,,,,2,40.0999554,4542.7613129,40.09985460000007,,42.08414939999966,42.132230100000015,42.155775499999436,4,42.15581740000016,4544.8171795,43.33570509999936,43.33575959999962,43.353271299999506,5,43.35342659999969,4546.0147953,47.102586099999826,47.10264180000013,47.10273159999997,6,40.099893699999484,4542.7612538,,370483,001,2025-09-02_16h20.54.906,Graz,,2025.1.1,59.831084881463966,2025-09-02 16h21.01.958699 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,6,6,0,0,6,6,8,47.11694199999965,,,,,,47.1028852999998,,,,2,47.117060099999435,4549.7784679,47.11694199999965,49.17304419999982,49.102101599999514,49.1524516999998,49.17304419999982,4,49.17308409999987,4551.834445,50.36706939999931,50.36712399999942,50.38310619999993,5,50.38312760000008,4553.044486,54.1170046999996,54.117070799999965,54.11716669999987,6,47.11697060000006,4549.7783472,,370483,001,2025-09-02_16h20.54.906,Graz,,2025.1.1,59.831084881463966,2025-09-02 16h21.01.958699 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,7,7,0,0,7,7,0,54.13696970000001,,,,,,54.117343699999765,,,,2,54.137085899999875,4556.7984442,54.13696970000001,,56.13266549999935,56.17226119999941,56.18279939999957,3,56.18282519999957,4558.8441844,57.38328229999934,57.38333379999949,57.3989118999998,5,57.39894379999987,4560.0603052,61.13228789999994,61.13233609999952,61.13241519999974,6,54.13700770000014,4556.7983694,,370483,001,2025-09-02_16h20.54.906,Graz,,2025.1.1,59.831084881463966,2025-09-02 16h21.01.958699 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,8,8,0,0,8,8,9,61.14970449999964,,,,,,61.1325668999998,,,,2,61.14978989999963,4563.8111467,61.14970449999964,,63.14993919999961,63.193033900000046,63.198996899999656,4,63.1990238999997,4565.8603825,64.38317629999983,64.38322530000005,64.39943279999989,5,64.39945679999983,4567.0608165,68.13542099999995,68.13548879999962,68.1355610999999,6,61.1497288999999,4563.8110882,,370483,001,2025-09-02_16h20.54.906,Graz,,2025.1.1,59.831084881463966,2025-09-02 16h21.01.958699 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,9,9,0,0,9,9,3,68.15084019999995,,,,,,68.13569819999975,,,,2,68.1509243999999,4570.8122821,68.15084019999995,70.20406439999988,70.13534079999954,70.18426759999966,70.20406439999988,3,70.20409699999982,4572.8654591,71.40197179999996,71.40201459999935,71.41839079999954,5,71.41841079999995,4574.0797698,75.15000249999957,75.15004729999964,75.15011929999946,6,68.15086369999972,4570.8122229,,370483,001,2025-09-02_16h20.54.906,Graz,,2025.1.1,59.831084881463966,2025-09-02 16h21.01.958699 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,10,0,1,1,0,10,1,75.16677170000003,,,,,,75.15026299999954,,,,2,75.16685640000014,4577.8282137,75.16677170000003,77.21625249999943,77.14938410000013,77.20070469999973,77.21625249999943,3,77.21627489999992,4579.8776326,78.41615060000004,78.41622550000011,78.43343319999985,5,78.43346049999946,4581.0948196,82.16677339999933,82.16682479999963,82.16690419999941,6,75.16679740000018,4577.8281565,,370483,001,2025-09-02_16h20.54.906,Graz,,2025.1.1,59.831084881463966,2025-09-02 16h21.01.958699 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,11,1,1,1,1,11,8,82.18332659999942,,,,,,82.16706410000006,,,,2,82.18341879999934,4584.844776,82.18332659999942,84.21669089999978,84.16680919999999,84.20627460000014,84.21669089999978,4,84.21674600000006,4586.8781084,85.4330745999996,85.43313810000018,85.44955459999983,5,85.44958119999956,4588.1109411,89.18289619999996,89.18294209999931,89.18301530000008,6,82.18335229999957,4584.8447125,,370483,001,2025-09-02_16h20.54.906,Graz,,2025.1.1,59.831084881463966,2025-09-02 16h21.01.958699 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,12,2,1,1,2,12,4,89.20047519999935,,,,,,89.1831517999999,,,,2,89.20057559999987,4591.8619322,89.20047519999935,,91.20090660000005,91.2477517999996,91.26634250000006,3,91.26636759999928,4593.9277271,92.43470919999982,92.43476329999976,92.4496580999994,5,92.44968499999959,4595.1110452,96.18294839999999,96.18298659999982,96.18303279999964,6,89.20050859999992,4591.8618732,96.2001006999999,370483,001,2025-09-02_16h20.54.906,Graz,,2025.1.1,59.831084881463966,2025-09-02 16h21.01.958699 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,13,3,1,1,3,13,7,96.2001006999999,,,,,,96.18316709999999,,,,2,96.20023390000006,4598.861592,96.2001006999999,,98.18323109999983,98.2278594999998,98.23378479999974,4,98.23381759999938,4600.8951791,99.44974289999936,99.44978600000013,99.46656209999946,5,99.4665845999998,4602.1279425,103.20024699999976,103.20029369999975,103.20037689999936,6,96.20013149999977,4598.8614907,,370483,001,2025-09-02_16h20.54.906,Graz,,2025.1.1,59.831084881463966,2025-09-02 16h21.01.958699 -0300,
