img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,image_2.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.039030599989928305,0.03909780000685714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396560,001,2026-08-10_19h28.57.386,Graz,,2025.1.1,None,2026-08-10 19h29.14.735796 -0300,
,,,,,,,,,,,,,0.03912940001464449,0.03916610000305809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396560,001,2026-08-10_19h28.57.386,Graz,,2025.1.1,None,2026-08-10 19h29.14.735796 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,0,0,0,0,0,0,7,0.067739399994025,,,,,,0.04563060001237318,1,0.06776559998979792,179169.1283344,2,0.06782220001332462,179169.1283875,3.049144899996463,5.17117089999374,5.037314000015613,5.129599900014,5.17117089999374,4,5.171208299987484,179174.2317798,6.315908599994145,6.315961999993306,6.336640399997123,5,6.336666799994418,179175.3972352,10.072214199986774,10.072251100005815,10.089184200012824,6,10.089207000011811,179179.1497754,12.064466200012248,,,,,,,396560,001,2026-08-10_19h28.57.386,Graz,,2025.1.1,None,2026-08-10 19h29.14.735796 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,1,1,0,0,1,1,2,12.08469730001525,,,,,,12.064607300009811,,,,2,12.084728399990126,179181.1452969,12.08469730001525,,14.049600099999225,14.11036590000731,14.153104700002586,3,14.15313099999912,179183.2137015,15.295868000015616,15.295907499996247,15.315152600000147,5,15.31517439999152,179184.3757422,19.0492527000024,19.049291700008325,19.069230199995218,6,19.06925400000182,179188.129822,21.051027999987127,,,,,,,396560,001,2026-08-10_19h28.57.386,Graz,,2025.1.1,None,2026-08-10 19h29.14.735796 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,2,2,0,0,2,2,5,21.07153760001529,,,,,,21.051157500012778,,,,2,21.07157170001301,179190.1321408,21.07153760001529,,23.04786769999191,23.095926400012104,23.135033400001703,4,23.13506229998893,179192.195631,24.30149509999319,24.301535200007493,24.346706400014227,5,24.34673190000467,179193.4073008,28.049291500006802,28.04933060001349,28.06897389999358,6,28.069009900005767,179197.1295824,30.049483799986774,,,,,,,396560,001,2026-08-10_19h28.57.386,Graz,,2025.1.1,None,2026-08-10 19h29.14.735796 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,3,3,0,0,3,3,9,30.068735500011826,,,,,,30.049631900008535,,,,2,30.06877839998924,179199.1293509,30.068735500011826,,32.05173300000024,32.100598499993794,32.13783250001143,4,32.13786829999299,179201.198442,33.30387110001175,33.30391869999585,33.31532230001176,5,33.31534619999002,179202.3759146,37.04555460001575,37.04559650001465,37.06505649999599,6,37.065079899999546,179206.1256488,39.05081049998989,,,,,,,396560,001,2026-08-10_19h28.57.386,Graz,,2025.1.1,None,2026-08-10 19h29.14.735796 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,4,4,0,0,4,4,3,39.06152749998728,,,,,,39.05093639998813,,,,2,39.061558299988974,179208.1221269,39.06152749998728,,41.04489240000839,41.09715799998958,41.13176889999886,3,41.131795900000725,179210.1923647,42.30388459999813,42.303924400010146,42.32443750000675,5,42.32447940000566,179211.385054,46.04719159999513,46.04723009999725,46.07234559999779,6,46.07236749998992,179215.1329356,48.04766040001414,,,,,,,396560,001,2026-08-10_19h28.57.386,Graz,,2025.1.1,None,2026-08-10 19h29.14.735796 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,5,5,0,0,5,5,8,48.0625652000017,,,,,,48.04785390000325,,,,2,48.06259869999485,179217.1231672,48.0625652000017,,50.05301770000369,50.11048470000969,50.13079359999392,4,50.13082089999807,179219.1913902,51.30044190000626,51.30048619999434,51.31611869999324,5,51.31614189999527,179220.3767103,55.04707490000874,55.04712420000578,55.05939410001156,6,55.059416800009785,179224.1199845,57.046130400005495,,,,,,,396560,001,2026-08-10_19h28.57.386,Graz,,2025.1.1,None,2026-08-10 19h29.14.735796 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,6,6,0,0,6,6,0,57.059004899987485,,,,,,57.0462613000127,,,,2,57.059035899990704,179226.1196034,57.059004899987485,,59.04300639999565,59.093431699991925,59.11318509999546,3,59.113207499991404,179228.1737758,60.296632100013085,60.29667270000209,60.31549219999579,5,60.31552569998894,179229.3760978,64.04587659999379,64.04591509999591,64.05864100001054,6,64.05866350000724,179233.1192319,66.04764919998706,,,,,,,396560,001,2026-08-10_19h28.57.386,Graz,,2025.1.1,None,2026-08-10 19h29.14.735796 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,7,7,0,0,7,7,6,66.06564370001433,,,,,,66.04779479998979,,,,2,66.06568460000562,179235.1262563,66.06564370001433,,68.04327709999052,68.0945279999869,68.11913639999693,4,68.11916140001267,179237.1797301,69.3010787999956,69.30112310001277,69.31380750000244,5,69.313830900006,179238.3743989,73.04348860000027,73.0435456999985,73.06129599999986,6,73.06131910000113,179242.1218874,75.04687640001066,,,,,,,396560,001,2026-08-10_19h28.57.386,Graz,,2025.1.1,None,2026-08-10 19h29.14.735796 -0300,
