img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.08307080005761236,0.08314220001921058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
,,,,,,,,,,,,,0.08317410002928227,0.08321070007514209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,0,0,0,0,0,0,7,0.09660340007394552,,,,,,0.08782700006850064,1,0.09664850006811321,954956.6825037,2,0.09676770004443824,954956.6826179,3.0954950000159442,5.083483300055377,5.150718500022776,5.163888400071301,4,5.163910300005227,954961.7497577,6.3461296000750735,6.346165900002234,6.362199300085194,5,6.3622195000061765,954962.9480657,10.095436800038442,10.095477199996822,10.111606499995105,6,10.11162650003098,954966.6974727,12.095317900064401,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,1,1,0,0,1,1,6,12.112079299986362,,,,,,12.09545430005528,,,,2,12.112111700000241,954968.6979594,12.112079299986362,14.095379200065508,14.148751100059599,14.162590900086798,4,14.162613800028339,954970.7484605,15.34574140002951,15.34578179998789,15.362073600059375,5,15.36209539999254,954971.9479417,19.09463659999892,19.094675000058487,19.11160880001262,6,19.111634300090373,954975.6974816,21.09462590003386,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,2,2,0,0,2,2,1,21.11193550005555,,,,,,21.094752800068818,,,,2,21.111963400035165,954977.6978098,21.11193550005555,23.09807340009138,23.164087900076993,23.178505700081587,3,23.178528900025412,954979.764375,24.34533060004469,24.345370600000024,24.361503100022674,5,24.361523600062355,954980.9473695,28.0980247000698,28.098131700069644,28.114367700065486,6,28.114424100029282,954984.7002798,30.098444500006735,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,3,3,0,0,3,3,0,30.11271650006529,,,,,,30.09882600000128,,,,2,30.11278080008924,954986.6986277,30.11271650006529,32.093973600072786,32.14326750009786,32.16125460003968,3,32.16127680009231,954988.7471238,33.34392240003217,33.34396279999055,33.36028999998234,5,33.360312000033446,954989.9461581,37.098216700018384,37.09832099999767,37.114299900014885,6,37.11435809999239,954993.7002141,39.09546830004547,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,4,4,0,0,4,4,8,39.11185680003837,,,,,,39.09573150007054,,,,2,39.11190860008355,954995.6977608,39.11185680003837,41.09379340009764,41.13948680006433,41.144040400045924,4,41.144056800054386,954997.7299033,42.344284799997695,42.34432320005726,42.360716100083664,5,42.360739700030535,954998.9465864,46.0938015000429,46.0938402999891,46.110185600002296,6,46.11020840005949,955002.6960549,48.093502600095235,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,5,5,0,0,5,5,5,48.110258000087924,,,,,,48.09364540001843,,,,2,48.110295000020415,955004.6961439,48.110258000087924,50.097296499996446,50.14537050004583,50.1612098000478,4,50.16123150009662,955006.7470786,51.34411820000969,51.3441663000267,51.36036950000562,5,51.36039290006738,955007.9462403,55.09290889999829,55.09294600004796,55.10928880004212,6,55.109310800093226,955011.6951573,57.09328130003996,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,6,6,0,0,6,6,4,57.110045499983244,,,,,,57.09343580005225,,,,2,57.1100860000588,955013.6959358,57.110045499983244,59.094538300065324,59.150970600079745,59.159965300001204,3,59.15998770005535,955015.7458346,60.34362160007004,60.34366780007258,60.360215900000185,5,60.36023870005738,955016.9460851,64.09204090002459,64.09208830003627,64.10823390004225,6,64.1082550000865,955020.6941009,66.09410720004234,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,7,7,0,0,7,7,9,66.10824400000274,,,,,,66.09455190005247,,,,2,66.10827379999682,955022.6941209,66.10824400000274,68.09158390003722,68.13542310008779,68.14292550005484,4,68.14294839999638,955024.7287958,69.3423397000879,69.34237750002649,69.3617553000804,5,69.36182079999708,955025.9476817,73.0923119999934,73.09236520004924,73.10960610001348,6,73.10965760005638,955029.6955127,75.09234620002098,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
