img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,attempt.stopped,attention_cross.stopped,image_2.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.12064680003095418,0.12073860003147274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478334,001,2026-06-21_23h59.43.521,Graz,,2025.1.1,60.18610749740063,2026-06-21 23h59.50.550560 -0300,
,,,,,,,,,,,,,0.12077499995939434,0.1208117000060156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478334,001,2026-06-21_23h59.43.521,Graz,,2025.1.1,60.18610749740063,2026-06-21 23h59.50.550560 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,0,0,0,0,0,0,4,0.13873240002430975,,,,,,0.12581969995517284,1,0.13875419995747507,955181.203476,2,0.13881250005215406,955181.2035311,3.721994200022891,5.1238192999735475,5.176705099991523,5.190151700051501,3,5.190171799971722,955186.2548934,6.371495499974117,6.371536700055003,6.388124000048265,5,6.388144299970008,955187.4528652,10.12085800000932,10.12089590006508,10.137316899956204,6,10.137333999969997,955191.2020546,12.122041700058617,,,,,,,,,478334,001,2026-06-21_23h59.43.521,Graz,,2025.1.1,60.18610749740063,2026-06-21 23h59.50.550560 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,1,1,0,0,1,1,7,12.137827900005504,,,,,,12.122208000044338,,,,2,12.137857399997301,955193.2025785,12.137827900005504,14.120880000060424,14.16578469995875,14.17180869996082,4,14.171836100053042,955195.2365582,15.371031300048344,15.371072400012054,15.38764450000599,5,15.387664400041103,955196.4523853,19.12061750004068,19.120649400050752,19.137636000057682,6,19.137676000013016,955200.2023996,21.121647599968128,19.137636000057682,,,,,,,,478334,001,2026-06-21_23h59.43.521,Graz,,2025.1.1,60.18610749740063,2026-06-21 23h59.50.550560 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,2,2,0,0,2,2,8,21.137295600026846,,,,,,21.121875899960287,,,,2,21.13732500001788,955202.2020462,21.137295600026846,23.120688700000755,23.1661247999873,23.170956299989484,4,23.170975900022313,955204.2356976,24.387234100024216,24.38727339997422,24.40385050000623,5,24.403875999967568,955205.4685976,28.13745939999353,28.137505399994552,28.153905699960887,6,28.153926600003615,955209.2186482,30.136722999974154,,23.170956299989484,,,,,,,478334,001,2026-06-21_23h59.43.521,Graz,,2025.1.1,60.18610749740063,2026-06-21 23h59.50.550560 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,3,3,0,0,3,3,2,30.153234399971552,,,,,,30.136862099985592,,,,2,30.153263799962588,955211.217986,30.153234399971552,32.13697160000447,32.18228750000708,32.18712430004962,3,32.18713860004209,955213.2518593,33.38707639998756,33.387132800067775,33.404094800003804,5,33.40412339998875,955214.4688463,37.13724319997709,37.13728120003361,37.152813100023195,6,37.15283499995712,955218.2175562,39.13643139996566,,,,,,,,,478334,001,2026-06-21_23h59.43.521,Graz,,2025.1.1,60.18610749740063,2026-06-21 23h59.50.550560 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,4,4,0,0,4,4,1,39.15307690005284,,,,,,39.13656700006686,,,,2,39.15310610004235,955220.2178277,39.15307690005284,41.139026700053364,41.18446929997299,41.203668000060134,3,41.20368919998873,955222.2684106,42.37100120005198,42.37105820002034,42.38647270004731,5,42.386495399987325,955223.4512182,46.11949339997955,46.11953070003074,46.13637950003613,6,46.13640850002412,955227.2011306,48.120572500047274,46.13637950003613,,48.13542469998356,,,,,,478334,001,2026-06-21_23h59.43.521,Graz,,2025.1.1,60.18610749740063,2026-06-21 23h59.50.550560 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,5,5,0,0,5,5,6,48.13542469998356,,,,,,48.120806199964136,,,,2,48.1354532999685,955229.2001747,48.13542469998356,50.1198458999861,50.17130290006753,50.187157200067304,4,50.187182100024074,955231.2519034,51.38632010004949,51.386400099960156,51.402698799967766,5,51.402721800026484,955232.4674431,55.13671750004869,55.13678269996308,55.153950699954294,6,55.15399120002985,955236.2187177,57.12215409998316,,50.187157200067304,,,,,,,478334,001,2026-06-21_23h59.43.521,Graz,,2025.1.1,60.18610749740063,2026-06-21 23h59.50.550560 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,6,6,0,0,6,6,0,57.13874650001526,,,,,,57.12254750006832,,,,2,57.13881879998371,955238.2035509,57.13874650001526,59.12224629998673,59.185122100054286,59.202636800007895,3,59.202657900052145,955240.2673793,60.385144100058824,60.38518500002101,60.40162560006138,5,60.4016483000014,955241.4663694,64.13454670005012,64.13458630000241,64.15117930003908,6,64.15119919995777,955245.2159202,66.13518700003624,,,,,,,,,478334,001,2026-06-21_23h59.43.521,Graz,,2025.1.1,60.18610749740063,2026-06-21 23h59.50.550560 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,7,7,0,0,7,7,5,66.15382830007002,,,,,,66.13534010003787,,,,2,66.1538568000542,955247.2185785,66.15382830007002,68.13480400003027,68.17941640003119,68.18578950001393,4,68.18580990005285,955249.2505311,69.38559570000507,69.38564079999924,69.40187669999432,5,69.40190170006827,955250.4666233,73.13408710004296,73.13412409997545,73.15059360000305,6,73.15061400004197,955254.2153354,75.13421060005203,,,,,,,,,478334,001,2026-06-21_23h59.43.521,Graz,,2025.1.1,60.18610749740063,2026-06-21 23h59.50.550560 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,8,8,0,0,8,8,9,75.1511016000295,,,,,,75.13433919998351,,,,2,75.15112990001217,955256.2158517,75.1511016000295,77.13429900002666,77.17885320005007,77.18470750004053,4,77.18472689995542,955258.2494478,78.38412930001505,78.3841694999719,78.40044580004178,5,78.40046829998028,955259.4651894,82.13364620006178,82.13368550001178,82.15027079998981,6,82.15029220003635,955263.2150131,84.1334614000516,,,,,,,,,478334,001,2026-06-21_23h59.43.521,Graz,,2025.1.1,60.18610749740063,2026-06-21 23h59.50.550560 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,9,9,0,0,9,9,3,84.15035310003441,,,,,,84.13359530002344,,,,2,84.15038440003991,955265.2151058,84.15035310003441,86.13357239996549,86.1833243999863,86.20090449997224,3,86.20092490001116,955267.2656463,87.38376650004648,87.38380790001247,87.40029530005995,5,87.40031749999616,955268.4650388,91.13382119999733,91.13385820004623,91.15004920004867,6,91.15008689998649,955272.2148083,93.13342079997528,,,,,,,,,478334,001,2026-06-21_23h59.43.521,Graz,,2025.1.1,60.18610749740063,2026-06-21 23h59.50.550560 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,10,0,1,1,0,10,8,93.14993169996887,,,,,,93.13360110006761,,,,2,93.14996479998808,955274.2146865,93.14993169996887,95.13299529999495,95.19310899998527,95.20043309999164,4,95.20045460003894,955276.2651765,96.38328379997984,96.38332560006529,96.39969300001394,5,96.39971440006047,955277.4644352,100.13291619997472,100.13295550004113,100.1494767999975,6,100.14949860004708,955281.2142192,102.13273139996454,,,,,,,,,478334,001,2026-06-21_23h59.43.521,Graz,,2025.1.1,60.18610749740063,2026-06-21 23h59.50.550560 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,11,1,1,1,1,11,1,102.14994290005416,,,,,,102.13288010004908,,,,2,102.14997739996761,955283.2147006,102.14994290005416,104.13278480002191,104.18458250002004,104.20063740003388,3,104.20066059997771,955285.2653828,105.38297020003665,105.38301160000265,105.39922090002801,5,105.39924309996422,955286.4639641,109.13212720002048,109.13216699997429,109.14888260001317,6,109.14890420006122,955290.2136259,111.1321789000649,,,,,,,,,478334,001,2026-06-21_23h59.43.521,Graz,,2025.1.1,60.18610749740063,2026-06-21 23h59.50.550560 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,12,2,1,1,2,12,5,111.15027640003245,,,,,,111.13232420000713,,,,2,111.15030310000293,955292.2150246,111.15027640003245,113.13182620005682,113.18441930005793,113.19946579996031,4,113.19948479998857,955294.2642062,114.38231749995612,114.38235910004005,114.39868049998768,5,114.39870080002584,955295.4634213,118.13212770002428,118.13217050000094,118.14907859999221,6,118.14910240005702,955299.2138241,120.13249750004616,,,,,,,,,478334,001,2026-06-21_23h59.43.521,Graz,,2025.1.1,60.18610749740063,2026-06-21 23h59.50.550560 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,13,3,1,1,3,13,3,120.14980680006556,,,,,,120.13264259998687,,,,2,120.14984520000871,955301.2145699,120.14980680006556,122.12505260005128,122.17425589996856,122.18654150003567,3,122.18662489997223,955303.2513651,123.38228570006322,123.38232680002693,123.39903390000109,5,123.39905730006285,955304.4637787,127.13434440002311,127.13443920004647,127.15132479998283,6,127.15137720003258,955308.2161069,129.1349319999572,,,,,,,,,478334,001,2026-06-21_23h59.43.521,Graz,,2025.1.1,60.18610749740063,2026-06-21 23h59.50.550560 -0300,
