img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,Rest.stopped,REST_code,REST_tGlob,REST_tLSL,attention_cross.stopped,attempt.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.09247320001304615,0.09255210000264924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542413,001,2025-09-01_14h02.38.326,Graz,,2025.1.1,36.049325570757425,2025-09-01 14h02.42.425117 -0300,
,,,,,,,,,,,,,0.09258420001424383,0.09261830001196358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542413,001,2025-09-01_14h02.38.326,Graz,,2025.1.1,36.049325570757425,2025-09-01 14h02.42.425117 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,0,0,0,0,0,0,6,0.11894190000020899,,,,,,0.09703010000521317,1,0.1189658000075724,68858.0821063,2,0.11902010001358576,68858.0821576,5.12993350000761,7.105222400001367,7.1913027000118745,7.260306400014088,4,7.260330700009945,68865.2234709,8.366410100003122,8.366457800002536,8.394146400009049,5,8.394180000002962,68866.3573219,12.104525300004752,12.104563400003826,12.104624000014155,,,,,,542413,001,2025-09-01_14h02.38.326,Graz,,2025.1.1,36.049325570757425,2025-09-01 14h02.42.425117 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,1,1,0,0,1,1,4,12.133217700000387,,,,,,12.104757300010533,,,,2,12.133295500010718,68870.0964328,12.133217700000387,14.107465000008233,14.14291600001161,14.217886000013095,3,14.217911200001254,68872.1810534,15.377234600004158,15.377288700008648,15.405743000010261,5,15.405771000005188,68873.3689127,19.11765730001207,19.117699300011736,19.117759800006752,6,12.133239600007073,68870.0963798,,,542413,001,2025-09-01_14h02.38.326,Graz,,2025.1.1,36.049325570757425,2025-09-01 14h02.42.425117 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,2,2,0,0,2,2,9,19.21369260000938,,,,,,19.11787750000076,,,,2,19.21380210001371,68877.1769431,19.21369260000938,21.12852960001328,21.165345100002014,21.18213110000943,4,21.182151800006977,68879.1452915,22.38347280000744,22.38350980001269,22.41132650000509,5,22.411349700007122,68880.37449,26.11941770001431,26.11945780001406,26.11951700001373,6,19.213717300008284,68877.1768582,,,542413,001,2025-09-01_14h02.38.326,Graz,,2025.1.1,36.049325570757425,2025-09-01 14h02.42.425117 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,3,3,0,0,3,3,2,26.14404050000303,,,,,,26.119656700000633,,,,2,26.144162500000675,68884.1073034,26.14404050000303,28.122692200005986,28.15898890000244,28.196092500002123,3,28.19611670001177,68886.1592567,29.381245000011404,29.38128700001107,29.405321600002935,5,29.405344700004207,68887.3684848,33.127371400012635,33.12740940001095,33.1274654000008,6,26.144087400010903,68884.1072313,,,542413,001,2025-09-01_14h02.38.326,Graz,,2025.1.1,36.049325570757425,2025-09-01 14h02.42.425117 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,4,4,0,0,4,4,3,33.130062100011855,,,,,,33.12757810000039,,,,2,33.13013880001381,68891.0932781,33.130062100011855,35.118447800006834,35.15708990000712,35.19020520000777,3,35.1902390000032,68893.1533802,36.38778840001032,36.387854600005085,36.411829400007264,5,36.411857600003714,68894.3749995,40.129844200011576,40.129883500005235,40.12994070000423,6,33.13007980000111,68891.09322,35.19020520000777,,542413,001,2025-09-01_14h02.38.326,Graz,,2025.1.1,36.049325570757425,2025-09-01 14h02.42.425117 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,5,5,0,0,5,5,8,40.13332470000023,,,,,,40.13005290000001,,,,2,40.133402700012084,68898.0965413,40.13332470000023,42.13826540000446,42.176163200012525,42.210636800009524,4,42.21066220001376,68900.1738029,43.38805680000223,43.388094700014335,43.41482010000618,5,43.41484310000669,68901.3779836,47.14066400000593,47.140701600001194,47.140757200002554,6,40.13334740001301,68898.0964887,,,542413,001,2025-09-01_14h02.38.326,Graz,,2025.1.1,36.049325570757425,2025-09-01 14h02.42.425117 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,6,6,0,0,6,6,5,47.143309300008696,,,,,,47.140866300003836,,,,2,47.14341040000727,68905.1065498,47.143309300008696,49.13951910000469,49.17611200000101,49.19130020000739,4,49.19131800001196,68907.1544575,50.40586300000723,50.40590170001087,50.408242000004975,5,50.408256900002016,68908.3713962,54.14785120000306,54.14789860000019,54.14796840000781,6,47.1433296000032,68905.1064718,49.19130020000739,,542413,001,2025-09-01_14h02.38.326,Graz,,2025.1.1,36.049325570757425,2025-09-01 14h02.42.425117 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,7,7,0,0,7,7,0,54.17372130000149,,,,,,54.14808410000114,,,,2,54.173798700008774,68912.1369361,54.17372130000149,56.16058360000898,56.197122100013075,56.21239680000872,3,56.2124204000138,68914.1755609,57.40776300001016,57.40780110000924,57.41781570001331,5,57.41782860000967,68915.3809677,61.14992380001058,61.14996300000348,61.15002210000239,6,54.173744300002,68912.1368844,,,542413,001,2025-09-01_14h02.38.326,Graz,,2025.1.1,36.049325570757425,2025-09-01 14h02.42.425117 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,8,8,0,0,8,8,7,61.15342340001371,,,,,,61.15014010001323,,,,2,61.1535106000083,68919.1166517,61.15342340001371,63.15100570001232,63.1891089000128,63.225695500004804,4,63.22571990000142,68921.1888601,64.4248942000122,64.42493370000739,64.45088920000126,5,64.45091240000329,68922.4140526,68.15876810000918,68.15881080001418,68.15886710000632,6,61.15344500000356,68919.1165854,,,542413,001,2025-09-01_14h02.38.326,Graz,,2025.1.1,36.049325570757425,2025-09-01 14h02.42.425117 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,9,9,0,0,9,9,1,68.18654510000488,,,,,,68.15898170000582,,,,2,68.18662820001191,68926.1497659,68.18654510000488,70.20035440000356,70.2374708000134,70.2497039000009,3,70.24971830000868,68928.2128574,71.42647780000698,71.42651580000529,71.428837200001,5,71.42886140001065,68929.3920034,75.16818910000438,75.1682271000027,75.16828350001015,6,68.186569100013,68926.1497098,,,542413,001,2025-09-01_14h02.38.326,Graz,,2025.1.1,36.049325570757425,2025-09-01 14h02.42.425117 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,10,0,1,1,0,10,0,75.19371720000345,,,,,,75.16839770000661,,,,2,75.19379320000007,68933.1569303,75.19371720000345,77.17058180000458,77.20735780001269,77.24366860000009,3,77.24369500001194,68935.2068354,78.42934500001138,78.42938380000123,78.43174090000684,5,78.43176060001133,68936.3949024,82.16552790001151,82.16555830001016,82.16559110001253,6,75.19373980000091,68933.1568799,,82.16887570000836,542413,001,2025-09-01_14h02.38.326,Graz,,2025.1.1,36.049325570757425,2025-09-01 14h02.42.425117 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,11,1,1,1,1,11,5,82.16887570000836,,,,,,82.16570270000375,,,,2,82.16895240001031,68940.1320898,82.16887570000836,84.17421950001153,84.2116001000104,84.22372240001278,4,84.22373510000762,68942.1868742,85.41847840000992,85.41851740000129,85.42080200000782,5,85.4208221000008,68943.3839633,89.17705190001288,89.1770921000134,89.17715330001374,6,82.16890210000565,68940.1320428,,,542413,001,2025-09-01_14h02.38.326,Graz,,2025.1.1,36.049325570757425,2025-09-01 14h02.42.425117 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,12,2,1,1,2,12,9,89.20222210000793,,,,,,89.17727100000775,,,,2,89.20229950000066,68947.1654368,89.20222210000793,91.19255600000906,91.22925140000007,91.26661470001272,4,91.26663910000934,68949.2297795,92.46523760000127,92.46527770000102,92.46836540001095,5,92.46838460001163,68950.4315259,96.22438690000854,96.22443640000711,96.22450630000094,6,89.20224530000996,68947.1653855,,,542413,001,2025-09-01_14h02.38.326,Graz,,2025.1.1,36.049325570757425,2025-09-01 14h02.42.425117 -0300,
