img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,attempt.stopped,Attempt.stopped,Rest.started,Rest.stopped,REST_code,REST_tGlob,REST_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.07656550000001516,0.07665029999998296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670371,001,2025-09-02_16h02.03.001,Graz,,2025.1.1,347.6253710909748,2025-09-02 16h02.10.286872 -0300,
,,,,,,,,,,,,,0.07669080000005124,0.07674959999985731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670371,001,2025-09-02_16h02.03.001,Graz,,2025.1.1,347.6253710909748,2025-09-02 16h02.10.286872 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,0,0,0,0,0,0,9,0.08498920000010912,,,,,,0.0829951999999139,1,0.0850126000000273,3371.0765716,2,0.08507569999983389,3371.0766331,5.061822899999697,7.098127199999908,7.04445799999985,7.09607109999979,7.098127199999908,4,7.098151400000006,3378.0897088,8.326812599999812,8.326839800000016,8.327667099999871,5,8.327677799999947,3379.3192342,12.061699500000032,12.060399299999972,12.060423099999753,12.060452499999883,,,,670371,001,2025-09-02_16h02.03.001,Graz,,2025.1.1,347.6253710909748,2025-09-02 16h02.10.286872 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,1,1,0,0,1,1,7,12.061699500000032,,,,,,12.060545699999693,,,,2,12.061773399999765,3383.0533278,12.061699500000032,14.087583900000027,14.04455659999985,14.085968099999718,14.087583900000027,4,14.087613599999713,3385.0791737,15.310826899999938,15.310851700000057,15.3112600999998,5,15.31126839999979,3386.3028238,19.04469199999994,19.044077000000016,19.044100600000093,19.044129299999895,6,12.061729999999898,3383.0532879,670371,001,2025-09-02_16h02.03.001,Graz,,2025.1.1,347.6253710909748,2025-09-02 16h02.10.286872 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,2,2,0,0,2,2,2,19.04469199999994,,,,,,19.044214099999863,,,,2,19.04473259999986,3390.0362865,19.04469199999994,21.066541799999868,21.027532099999917,21.06484159999991,21.066541799999868,3,21.066572199999882,3392.0581311,22.294657099999768,22.294685800000025,22.295639299999948,5,22.295661799999834,3393.2872229,26.029566499999873,26.028319399999873,26.028344399999696,26.028373699999975,6,19.044705799999974,3390.0362616,670371,001,2025-09-02_16h02.03.001,Graz,,2025.1.1,347.6253710909748,2025-09-02 16h02.10.286872 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,3,3,0,0,3,3,3,26.029566499999873,,,,,,26.02846550000004,,,,2,26.029655899999852,3397.0212122,26.029566499999873,28.053916599999866,28.012176799999907,28.052189799999724,28.053916599999866,3,28.053960899999765,3399.0455237,29.278659999999945,29.278684699999758,29.27909899999986,5,29.27910759999986,3400.2706631,33.012315099999796,33.01167050000004,33.011693899999955,33.011723000000075,6,26.029600099999698,3397.0211593,670371,001,2025-09-02_16h02.03.001,Graz,,2025.1.1,347.6253710909748,2025-09-02 16h02.10.286872 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,4,4,0,0,4,4,4,33.012315099999796,,,,,,33.011809300000095,,,,2,33.01235850000012,3404.0039126,33.012315099999796,35.0337085000001,34.99509200000011,35.03168619999997,35.0337085000001,3,35.03374290000011,3406.0253039,36.26230349999969,36.26233749999983,36.26327689999971,5,36.26329020000003,3407.2548466,39.997429699999884,39.99622760000011,39.99625160000005,39.99628110000003,6,33.01232949999985,3404.0038854,670371,001,2025-09-02_16h02.03.001,Graz,,2025.1.1,347.6253710909748,2025-09-02 16h02.10.286872 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,5,5,0,0,5,5,8,39.997429699999884,,,,,,39.996370899999874,,,,2,39.997506599999724,3410.9890613,39.997429699999884,42.0207989999999,41.980039300000044,42.01922319999994,42.0207989999999,4,42.02083300000004,3413.0123928,43.246742599999834,43.24677029999975,43.247295399999985,5,43.24730479999971,3414.2388606,46.98066029999973,46.980079899999964,46.98010149999982,46.980129900000065,6,39.99746269999969,3410.9890219,670371,001,2025-09-02_16h02.03.001,Graz,,2025.1.1,347.6253710909748,2025-09-02 16h02.10.286872 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,6,6,0,0,6,6,6,46.98066029999973,,,,,,46.980213999999705,,,,2,46.98069959999975,3417.9722535,46.98066029999973,49.00286599999981,48.96398790000012,49.00153319999981,49.00286599999981,4,49.00291379999999,3419.9944752,50.23060450000003,50.23064780000004,50.2319066,5,50.23192609999978,3421.2234831,53.96644749999996,53.965191700000105,53.965231199999835,53.96527500000002,6,46.980672700000014,3417.9722286,670371,001,2025-09-02_16h02.03.001,Graz,,2025.1.1,347.6253710909748,2025-09-02 16h02.10.286872 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,7,7,0,0,7,7,1,53.96644749999996,,,,,,53.9653688999997,,,,2,53.96656609999991,3424.9581257,53.96644749999996,55.99098269999968,55.9489851999997,55.98939629999995,55.99098269999968,3,55.991015399999924,3426.9825754,57.21573209999997,57.215758299999834,57.21627209999997,5,57.21628239999973,3428.2078387,60.949672700000065,60.9490394999998,60.94906559999981,60.94909469999993,6,53.96649040000011,3424.9580529,670371,001,2025-09-02_16h02.03.001,Graz,,2025.1.1,347.6253710909748,2025-09-02 16h02.10.286872 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,8,8,0,0,8,8,5,60.949672700000065,,,,,,60.94918030000008,,,,2,60.94971529999975,3431.9412693,60.949672700000065,62.97254350000003,62.932500999999775,62.970656599999984,62.97254350000003,4,62.97258329999977,3433.9641458,64.19997469999998,64.2000221999997,64.20133739999983,5,64.20136120000006,3435.192922,67.93615640000007,67.93442099999993,67.93446349999977,67.93456449999985,6,60.9496865000001,3431.9412427,670371,001,2025-09-02_16h02.03.001,Graz,,2025.1.1,347.6253710909748,2025-09-02 16h02.10.286872 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,9,9,0,0,9,9,0,67.93615640000007,,,,,,67.93473889999996,,,,2,67.93626129999984,3438.9278187,67.93615640000007,69.95824379999976,69.91895419999992,69.9569446999999,69.95824379999976,3,69.95828989999973,3440.9498502,71.18473029999996,71.18475799999987,71.1852257999999,5,71.18523479999976,3442.1767905,74.91843229999995,74.91782979999971,74.91785230000005,74.9178809,6,67.93619880000006,3438.9277601,670371,001,2025-09-02_16h02.03.001,Graz,,2025.1.1,347.6253710909748,2025-09-02 16h02.10.286872 -0300,
