img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,attempt.stopped,Attempt.stopped,Rest.started,Rest.stopped,REST_code,REST_tGlob,REST_tLSL,attention_cross.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.06469860000652261,0.06477209999866318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791162,001,2025-09-01_13h52.42.084,Graz,,2025.1.1,37.653295981312446,2025-09-01 13h52.49.663249 -0300,
,,,,,,,,,,,,,0.06480290000035893,0.064839500002563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791162,001,2025-09-01_13h52.42.084,Graz,,2025.1.1,37.653295981312446,2025-09-01 13h52.49.663249 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,0,0,0,0,0,0,0,0.08903360000113025,,,,,,0.06929070000478532,1,0.08904839999740943,68265.317598,2,0.08908570000494365,68265.3176326,5.082721200000378,7.077327599996352,7.157279000006383,7.176564800000051,3,7.176582600004622,68272.4051331,8.31998480000766,8.32002640000428,8.322677400006796,5,8.322702399993432,68273.5512534,12.062358199997107,12.058931899999152,12.058961799993995,12.058996000007028,,,,,791162,001,2025-09-01_13h52.42.084,Graz,,2025.1.1,37.653295981312446,2025-09-01 13h52.49.663249 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,1,1,0,0,1,1,1,12.062358199997107,,,,,,12.059103499996127,,,,2,12.062454600003548,68277.2910028,12.062358199997107,14.049161300004926,14.09134549999726,14.101772900001379,3,14.101817100003245,68279.3303704,15.324270299999625,15.324307200004114,15.350678600007086,5,15.35070490000362,68280.579256,,19.07732159999432,19.0773601999972,19.077419099994586,6,12.062392299994826,68277.2909439,14.101772900001379,791162,001,2025-09-01_13h52.42.084,Graz,,2025.1.1,37.653295981312446,2025-09-01 13h52.49.663249 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,2,2,0,0,2,2,4,19.08931080000184,,,,,,19.077533200004837,,,,2,19.089386100007687,68284.3179332,19.08931080000184,21.093171500004246,21.12928049999755,21.166327800005092,3,21.166352500003995,68286.394903,22.343078899997636,22.343119600001955,22.346229799994035,5,22.346252899995307,68287.5748035,,26.08337969999411,26.083432500003255,26.083499800006393,6,19.089332899995497,68284.3178831,,791162,001,2025-09-01_13h52.42.084,Graz,,2025.1.1,37.653295981312446,2025-09-01 13h52.49.663249 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,3,3,0,0,3,3,6,26.086930499994196,,,,,,26.08361820000573,,,,2,26.087034900003346,68291.3155837,26.086930499994196,28.070448400001624,28.110489400001825,28.14154409999901,4,28.141577899994445,68293.3701289,29.355967900002724,29.356004200002644,29.383955800003605,5,29.383980300000985,68294.6125307,,33.10116530000232,33.10120499999903,33.101263300006394,6,26.08697010000469,68291.3155219,28.14154409999901,791162,001,2025-09-01_13h52.42.084,Graz,,2025.1.1,37.653295981312446,2025-09-01 13h52.49.663249 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,4,4,0,0,4,4,8,33.12687979999464,,,,,,33.10138370000641,,,,2,33.12696170000709,68298.3555093,33.12687979999464,35.10165979999874,35.13953290000791,35.17367819999345,4,35.17370410000149,68300.4022548,36.37469369999599,36.374733499993454,36.40198939999391,5,36.4020126999967,68301.6305631,,40.102826000002096,40.10288099999889,40.10295070000575,6,33.12690509999811,68298.3554553,,791162,001,2025-09-01_13h52.42.084,Graz,,2025.1.1,37.653295981312446,2025-09-01 13h52.49.663249 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,5,5,0,0,5,5,3,40.128753099997994,,,,,,40.10307379999722,,,,2,40.12883299999521,68305.3573806,40.128753099997994,42.137934600003064,42.17468880000524,42.19048509999993,3,42.19050880000577,68307.4190588,43.354200100002345,43.35423670000455,43.35662049999519,5,43.356643299994175,68308.5851949,,47.11217619999661,47.11221479999949,47.11227480000525,6,40.12877710000612,68305.3573275,,791162,001,2025-09-01_13h52.42.084,Graz,,2025.1.1,37.653295981312446,2025-09-01 13h52.49.663249 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,6,6,0,0,6,6,2,47.1156278999988,,,,,,47.112393500006874,,,,2,47.1157366999978,68312.3442874,47.1156278999988,49.100466599993524,49.136540499996045,49.173319299996365,3,49.173351999997976,68314.4019021,50.36237410000467,50.362420399993425,50.38794169999892,5,50.387965000001714,68315.6165153,,54.12414149999677,54.124179000005824,54.12428269999509,6,47.115655100002186,68312.3442054,49.173319299996365,791162,001,2025-09-01_13h52.42.084,Graz,,2025.1.1,37.653295981312446,2025-09-01 13h52.49.663249 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,7,7,0,0,7,7,7,54.1276949000021,,,,,,54.12439500000619,,,,2,54.12778860000253,68319.356336,54.1276949000021,56.1243775000039,56.16134649999731,56.20804310000676,4,56.208071600005496,68321.4366215,57.375440799994976,57.37548040000547,57.37851850000152,5,57.37854439999501,68322.6070951,,61.12876789999427,61.12881120000384,61.1288721000019,6,54.12772479999694,68319.3562758,56.20804310000676,791162,001,2025-09-01_13h52.42.084,Graz,,2025.1.1,37.653295981312446,2025-09-01 13h52.49.663249 -0300,
