img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,Rest.stopped,REST_code,REST_tGlob,REST_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.13765050005167723,0.13772130012512207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808401,001,2025-08-28_17h07.48.946,Graz,,2025.1.1,59.83820945727936,2025-08-28 17h07.59.834301 -0300,
,,,,,,,,,,,,,0.13775380002334714,0.13778930017724633,,,,,,,,,,,,,,,,,,,,,,,,,,,808401,001,2025-08-28_17h07.48.946,Graz,,2025.1.1,59.83820945727936,2025-08-28 17h07.59.834301 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,0,0,0,0,0,0,8,0.14574760012328625,,,,,,0.142693700036034,1,0.14587300014682114,1240088.7955119,2,0.14607900008559227,1240088.7956969,5.151278499979526,7.138322600163519,7.196132100187242,7.200594200054184,4,7.200608400162309,1240095.850219,8.390655900118873,8.390692400047556,8.407161100069061,5,8.407183200120926,1240097.0567953,12.149665700038895,12.149705399991944,12.149767100112513,,,,808401,001,2025-08-28_17h07.48.946,Graz,,2025.1.1,59.83820945727936,2025-08-28 17h07.59.834301 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,1,1,0,0,1,1,9,12.164293200010434,,,,,,12.149886700091884,,,,2,12.164408500073478,1240100.8140174,12.164293200010434,14.151674800086766,14.203571600141004,14.207584399962798,4,14.207598200067878,1240102.857209,15.403304300038144,15.403343900106847,15.42003250005655,5,15.420057100011036,1240104.0696687,19.160638600122184,19.160690900171176,19.160779100144282,6,12.164324800018221,1240100.8139403,808401,001,2025-08-28_17h07.48.946,Graz,,2025.1.1,59.83820945727936,2025-08-28 17h07.59.834301 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,2,2,0,0,2,2,1,19.177241099998355,,,,,,19.16110510006547,,,,2,19.17734090005979,1240107.826953,19.177241099998355,21.164037100039423,21.20448700012639,21.208451500162482,3,21.208470599958673,1240109.8580819,22.41740470007062,22.417513699969277,22.433509499998763,5,22.433594700181857,1240111.0832274,26.17309659998864,26.173138099955395,26.17320240009576,6,19.177267800085247,1240107.8268812,808401,001,2025-08-28_17h07.48.946,Graz,,2025.1.1,59.83820945727936,2025-08-28 17h07.59.834301 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,3,3,0,0,3,3,0,26.189813000150025,,,,,,26.173316800035536,,,,2,26.18990970007144,1240114.8395219,26.189813000150025,28.176672599976882,28.22404530015774,28.22907150001265,3,28.22912020003423,1240116.8787368,29.430740100098774,29.430803100112826,29.445814199978486,5,29.445851300144568,1240118.0954676,33.18589000008069,33.18592650000937,33.18598389998078,6,26.18983849999495,1240114.8394523,808401,001,2025-08-28_17h07.48.946,Graz,,2025.1.1,59.83820945727936,2025-08-28 17h07.59.834301 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,4,4,0,0,4,4,2,33.202442000154406,,,,,,33.18609510012902,,,,2,33.20251510012895,1240121.8521239,33.202442000154406,35.189569000154734,35.22929479996674,35.233294900041074,3,35.233312300173566,1240123.8829239,36.441827200120315,36.44186730007641,36.45843040011823,5,36.458458699984476,1240125.1080713,40.198888200102374,40.19893330009654,40.19899730011821,6,33.202463099965826,1240121.8520743,808401,001,2025-08-28_17h07.48.946,Graz,,2025.1.1,59.83820945727936,2025-08-28 17h07.59.834301 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,5,5,0,0,5,5,5,40.21769300010055,,,,,,40.19911350007169,,,,2,40.21776770008728,1240128.8673761,40.21769300010055,42.20234870002605,42.23982600006275,42.24371730000712,4,42.24373190011829,1240130.8933431,43.45494049997069,43.4549915001262,43.4712004000321,5,43.47122379997745,1240132.1208365,47.2117233001627,47.211776399984956,47.21186519996263,6,40.217716900166124,1240128.8673285,808401,001,2025-08-28_17h07.48.946,Graz,,2025.1.1,59.83820945727936,2025-08-28 17h07.59.834301 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,6,6,0,0,6,6,7,47.22832310013473,,,,,,47.212010600138456,,,,2,47.22843450005166,1240135.8780471,47.22832310013473,49.21541119995527,49.25531510007568,49.25925170001574,4,49.25927130016498,1240137.9088831,50.467567099956796,50.46760630002245,50.483979400014505,5,50.48400150006637,1240139.133613,54.22466509998776,54.22472429997288,54.224825700046495,6,47.22835710016079,1240135.8779714,808401,001,2025-08-28_17h07.48.946,Graz,,2025.1.1,59.83820945727936,2025-08-28 17h07.59.834301 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,7,7,0,0,7,7,3,54.240946599980816,,,,,,54.22503149998374,,,,2,54.24102469999343,1240142.8906337,54.240946599980816,56.229350600158796,56.26723310002126,56.27116470015608,3,56.27117850002833,1240144.9207893,57.48266740003601,57.48270400008187,57.496892099967226,5,57.4969160000328,1240146.1465285,61.23698950000107,61.23702900018543,61.23709290008992,6,54.240970300044864,1240142.8905827,808401,001,2025-08-28_17h07.48.946,Graz,,2025.1.1,59.83820945727936,2025-08-28 17h07.59.834301 -0300,
