img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.09072600002400577,0.09080190001986921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841799,001,2025-12-04_15h48.57.685,Graz,,2025.1.1,38.00121225409498,2025-12-04 15h49.02.009704 -0300,
,,,,,,,,,,,,,0.09083630004897714,0.09087499999441206,,,,,,,,,,,,,,,,,,,,,,,,,,,,841799,001,2025-12-04_15h48.57.685,Graz,,2025.1.1,38.00121225409498,2025-12-04 15h49.02.009704 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,0,0,0,0,0,0,5,0.11576909990981221,,,,,,0.09693820006214082,1,0.11579680000431836,1252290.9243418,2,0.11585350008681417,1252290.9243949,3.1113744999747723,5.111934900050983,5.227296099998057,5.244582900078967,4,5.2446107000578195,1252296.0531552,6.359788300003856,6.359938099980354,6.36926109995693,5,6.369286099914461,1252297.1778319,10.115399000002071,10.115454300073907,10.140371900051832,6,10.140401300042868,1252300.9489452,12.095789500046521,841799,001,2025-12-04_15h48.57.685,Graz,,2025.1.1,38.00121225409498,2025-12-04 15h49.02.009704 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,1,1,0,0,1,1,6,12.12049030000344,,,,,,12.095973999937996,,,,2,12.120534300105646,1252302.9290817,12.12049030000344,14.433838699944317,14.48067869991064,14.487748800078407,4,14.487777499947697,1252305.2963243,17.35736000002362,17.35740129998885,17.3831839999184,5,17.38320880010724,1252308.1917528,19.09459919994697,19.09463659999892,19.120192900067195,6,19.120216500014067,1252309.9287608,21.116299000103027,841799,001,2025-12-04_15h48.57.685,Graz,,2025.1.1,38.00121225409498,2025-12-04 15h49.02.009704 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,2,2,0,0,2,2,1,21.141923800110817,,,,,,21.116433900082484,,,,2,21.141953099984676,1252311.9504974,21.141923800110817,23.091617800062522,23.13807990006171,23.153241300024092,3,23.1532664000988,1252313.9618105,24.34866250003688,24.348716200096533,24.38360680011101,5,24.383631499949843,1252315.1921758,28.10340590006672,28.10344609990716,28.129225499927998,6,28.129259099951014,1252318.9378053,30.10874870000407,841799,001,2025-12-04_15h48.57.685,Graz,,2025.1.1,38.00121225409498,2025-12-04 15h49.02.009704 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,3,3,0,0,3,3,0,30.134710799902678,,,,,,30.108880100073293,,,,2,30.13474310003221,1252320.9432877,30.134710799902678,32.105542900040746,32.148030899930745,32.1584713999182,3,32.1584880000446,1252322.9670312,33.36427649995312,33.364324799971655,33.38993509998545,5,33.3899628999643,1252324.1985075,37.10309370001778,37.10313330008648,37.1297585000284,6,37.12978129996918,1252327.9383259,39.11361370002851,841799,001,2025-12-04_15h48.57.685,Graz,,2025.1.1,38.00121225409498,2025-12-04 15h49.02.009704 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,4,4,0,0,4,4,9,39.140107800019905,,,,,,39.113784400047734,,,,2,39.140146400080994,1252329.9486913,39.140107800019905,41.10375200002454,41.149903000099584,41.182437600102276,4,41.182494499953464,1252331.9910449,42.34849929995835,42.348544700071216,42.37451400002465,5,42.37453619996086,1252333.1830802,46.10380350006744,46.103845099918544,46.12949090008624,6,46.129519700072706,1252336.9380649,48.09879339998588,841799,001,2025-12-04_15h48.57.685,Graz,,2025.1.1,38.00121225409498,2025-12-04 15h49.02.009704 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,5,5,0,0,5,5,8,48.124414999969304,,,,,,48.09893129998818,,,,2,48.124448500107974,1252338.9329932,48.124414999969304,50.095301900058985,50.143443200038746,50.173949599964544,4,50.17398190009408,1252340.9825286,51.34242550004274,51.342469200026244,51.36797389993444,5,51.3680008999072,1252342.1765453,55.11643319996074,55.1164738999214,55.14274960011244,6,55.14277549996041,1252345.9513197,57.11373630003072,841799,001,2025-12-04_15h48.57.685,Graz,,2025.1.1,38.00121225409498,2025-12-04 15h49.02.009704 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,6,6,0,0,6,6,2,57.14029380003922,,,,,,57.11386639997363,,,,2,57.14032600005157,1252347.9488706,57.14029380003922,59.09797909995541,59.14168590004556,59.151225300040096,3,59.15124409995042,1252349.9597874,60.353146200068295,60.353190100053325,60.37881499994546,5,60.37884039990604,1252351.1873848,64.11364630004391,64.11368579999544,64.14029940008186,6,64.14032320003025,1252354.9488675,66.09651999990456,841799,001,2025-12-04_15h48.57.685,Graz,,2025.1.1,38.00121225409498,2025-12-04 15h49.02.009704 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,7,7,0,0,7,7,4,66.12310259998776,,,,,,66.09666549996473,,,,2,66.12313580000773,1252356.93168,66.12310259998776,68.10975709999911,68.15311329998076,68.18837959994562,3,68.1884030001238,1252358.996947,69.34270859998651,69.34275169996545,69.36896260012873,5,69.36898700008169,1252360.1775312,73.10101420013234,73.10105439997278,73.12671709991992,6,73.126739700092,1252363.9352841,75.1129276000429,841799,001,2025-12-04_15h48.57.685,Graz,,2025.1.1,38.00121225409498,2025-12-04 15h49.02.009704 -0300,
