img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.028317199998127762,0.028391899999405723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT000,1,2026-09-07_18h35.37.197,Graz,,2025.1.1,None,2026-09-07 18h35.40.258972 -0300,
,,,,,,,,,,,,,0.028425799995602574,0.028467099997214973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT000,1,2026-09-07_18h35.37.197,Graz,,2025.1.1,None,2026-09-07 18h35.40.258972 -0300,
../stims/both_feet.png,BOTH_MI_STIM,0,0,0,0,0,0,14,0.04937519999657525,,,,,,0.033162200001243036,1,0.04939770000055432,37436.1050269,2,0.04945120000047609,37436.1050775,3.040729599997576,5.101932799996575,5.024491399999533,5.086490199995751,5.101932799996575,7,5.101960399995733,37441.1575893,6.28237110000191,6.282414499997685,6.303302399996028,5,6.30332620000263,37442.3589554,10.033499899996968,10.033537600000273,10.054934899999353,6,10.054958000000624,37446.1105872,12.03533900000184,TT000,1,2026-09-07_18h35.37.197,Graz,,2025.1.1,None,2026-09-07 18h35.40.258972 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,1,1,0,0,1,1,8,12.056861700002628,,,,,,12.035470000002533,,,,2,12.056891300002462,37448.1125198,12.056861700002628,,14.038480600000184,14.084822600001644,14.103252499997325,4,14.103274499997497,37450.158903,15.29155929999979,15.291621999997005,15.30280810000113,5,15.302831299995887,37451.3584599,19.03308190000098,19.033121300002676,19.05471559999569,6,19.05477019999671,37455.1104066,21.036075099997106,TT000,1,2026-09-07_18h35.37.197,Graz,,2025.1.1,None,2026-09-07 18h35.40.258972 -0300,
../stims/both_feet.png,BOTH_MI_STIM,2,2,0,0,2,2,12,21.047683799995866,,,,,,21.036225700001523,,,,2,21.047712400002638,37457.103342,21.047683799995866,,23.0352608999965,23.07155639999837,23.089892500000133,7,23.089918699995906,37459.1455481,24.288671299997077,24.28871269999945,24.299959500000114,5,24.299981600001047,37460.3556103,28.03393959999812,28.033977699997195,28.05537809999805,6,28.055402199999662,37464.1110313,30.038361899998563,TT000,1,2026-09-07_18h35.37.197,Graz,,2025.1.1,None,2026-09-07 18h35.40.258972 -0300,
../stims/left_foot.png,LEFT_MI_STIM,3,3,0,0,3,3,3,30.049610800000664,,,,,,30.038492799998494,,,,2,30.04964099999779,37466.1052705,30.049610800000664,,32.034016300000076,32.08075809999718,32.09902940000029,3,32.099051600001985,37468.1546805,33.2840240000005,33.284064899999066,33.305552500001795,5,33.30557640000188,37469.3612054,37.03734280000208,37.037405499999295,37.048509499996726,6,37.04853169999842,37473.1041602,39.03019079999649,TT000,1,2026-09-07_18h35.37.197,Graz,,2025.1.1,None,2026-09-07 18h35.40.258972 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,4,4,0,0,4,4,5,39.05103090000193,,,,,,39.030320799996844,,,,2,39.05105940000067,37475.1066879,39.05103090000193,,41.03606859999854,41.082110999996075,41.10065609999583,4,41.100681600000826,37477.1563119,42.28471619999618,42.28475829999661,42.307831799997075,5,42.3078555999964,37478.3634848,46.03233979999641,46.032378099997004,46.05058509999799,6,46.05060769999545,37482.1062361,48.0408752000003,TT000,1,2026-09-07_18h35.37.197,Graz,,2025.1.1,None,2026-09-07 18h35.40.258972 -0300,
../stims/both_feet.png,BOTH_MI_STIM,5,5,0,0,5,5,13,48.053701400000136,,,,,,48.04100620000099,,,,2,48.05372989999887,37484.1093597,48.053701400000136,,50.038356199998816,50.0748906000008,50.088154199998826,7,50.08817669999553,37486.1438057,51.2826481000011,51.28269089999958,51.30641939999623,5,51.30644259999826,37487.3620717,55.03539029999956,55.03543009999703,55.04663240000082,6,55.04665389999718,37491.1022825,57.032256899998174,TT000,1,2026-09-07_18h35.37.197,Graz,,2025.1.1,None,2026-09-07 18h35.40.258972 -0300,
../stims/left_foot.png,LEFT_MI_STIM,6,6,0,0,6,6,2,57.053509600002144,,,,,,57.03239709999616,,,,2,57.05354349999834,37493.109173,57.053509600002144,,59.02946710000106,59.07087279999541,59.08401330000197,3,59.084034699997574,37495.1396635,60.28231819999928,60.28236150000157,60.30518640000082,5,60.30521559999761,37496.3608449,64.02945779999573,64.02949619999708,64.05485570000019,6,64.05487939999875,37500.1105084,66.02895449999778,TT000,1,2026-09-07_18h35.37.197,Graz,,2025.1.1,None,2026-09-07 18h35.40.258972 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,7,7,0,0,7,7,6,66.04988359999697,,,,,,66.02911769999628,,,,2,66.04991280000104,37502.105543,66.04988359999697,,68.02904829999898,,,,,,,,,,,,,,,,,,,,,,,,,,,
