img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,attempt.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,1.4946959000008064,1.4947990000000573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
,,,,,,,,,,,,,1.4948476999998093,1.494918600001256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/left_foot.png,LEFT_MI_STIM,0,0,0,0,0,0,4,1.5301677000024938,,,,,,1.501279500000237,1,1.530193300000974,37555.0272624,2,1.5302520000041113,37555.0273174,4.503686500000185,6.575005999999121,6.487427599997318,6.549523900001077,6.575005999999121,3,6.575034000001324,37560.0721012,7.755444700000226,7.755510000002687,7.777773000001616,5,7.77779620000365,37561.2748637,11.505783599997812,11.505822200000694,11.517563200002769,6,11.51758559999871,37565.0146526,13.494883500003198,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/left_foot.png,LEFT_MI_STIM,1,1,0,0,1,1,3,13.507217300000775,,,,,,13.495017300003383,,,,2,13.507246200002555,37567.0043137,13.507217300000775,15.536588100003428,15.492697399997269,15.529577499997686,15.536588100003428,3,15.536608599999454,37569.0336755,16.751301399999647,16.75134020000405,16.77274600000237,5,16.772769800001697,37570.2698367,20.50495139999839,20.504991200003133,20.526397200002975,6,20.526421200003824,37574.0234887,22.509170600002108,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/left_foot.png,LEFT_MI_STIM,2,2,0,0,2,2,2,22.520685499999672,,,,,,22.509302400001616,,,,2,22.520716600003652,37576.0177851,22.520685499999672,,24.50585680000222,24.542301000001316,24.560212299998966,3,24.560235299999476,37578.0573026,25.758431700000074,25.758472000001348,25.770851699999184,5,25.77087500000198,37579.2679425,29.501611200001207,29.50165250000282,29.524128400000336,6,29.524149900003977,37583.0212172,31.502664200001163,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,3,3,0,0,3,3,9,31.518205000000307,,,,,,31.502800000002026,,,,2,31.51824029999989,37585.0153087,31.518205000000307,,33.49532460000046,33.54073259999859,33.564607200001774,4,33.564637700001185,37587.0617058,34.74777500000346,34.74782879999839,34.77322239999921,5,34.77324529999896,37588.2703125,38.511841400002595,38.51188170000387,38.523732499998005,6,38.52375530000427,37592.0208227,40.504672299997765,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/left_foot.png,LEFT_MI_STIM,4,4,0,0,4,4,1,40.5218748000043,,,,,,40.50481669999863,,,,2,40.52196299999923,37594.0190407,40.5218748000043,,42.511348899999575,42.552237399999285,42.588122599998314,3,42.58814659999916,37596.0852144,43.774105299999064,43.774163499998394,43.78676409999753,5,43.78678930000024,37597.283857,47.50524650000443,47.505287400003,47.52000730000145,6,47.520029400002386,37601.0170968,49.52019840000139,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,5,5,0,0,5,5,5,49.53385230000276,,,,,,49.52033250000386,,,,2,49.53388139999879,37603.0309493,49.53385230000276,,51.50462910000351,51.542026900002384,51.555685999999696,4,51.55570910000097,37605.0527767,52.754651100003684,52.75469780000276,52.76731770000333,5,52.767341300001135,37606.2644092,56.51414310000109,56.514184799998475,56.535972999998194,6,56.535995600002934,37610.0330624,58.50233329999901,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/both_feet.png,BOTH_MI_STIM,6,6,0,0,6,6,11,58.52638190000289,,,,,,58.502460199997586,,,,2,58.52641479999875,37612.0234828,58.52638190000289,,60.50181770000199,60.542536900000414,60.56372790000023,7,60.563756000003195,37614.0608251,61.76262670000142,61.76267540000117,61.78917540000111,5,61.78919979999773,37615.2862674,65.50366059999942,65.50372120000247,65.52497040000162,6,65.52499320000061,37619.0220608,67.51074710000103,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,7,7,0,0,7,7,7,67.5231277999992,,,,,,67.51087610000104,,,,2,67.52316920000158,37621.0202402,67.5231277999992,,69.50307769999927,69.54260539999814,69.55324040000414,4,69.55326639999839,37623.0503343,70.75558789999923,70.75562799999898,70.76813019999827,5,70.76815440000064,37624.2652223,74.50357839999924,74.50361600000178,74.520153999998,6,74.52017969999724,37628.0172473,76.49994080000033,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,8,8,0,0,8,8,6,76.52593870000419,,,,,,76.5001231999995,,,,2,76.52597059999971,37630.0230386,76.52593870000419,,78.50767540000379,78.5520639000024,78.59583659999771,4,78.59593100000347,37632.0930109,79.7530179000023,79.75305890000163,79.77770120000059,5,79.7777242000011,37633.2747914,83.5013168000005,83.50135469999805,83.5232313000015,6,83.5232571000015,37637.0203255,85.49535219999962,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,9,9,0,0,9,9,8,85.51739870000165,,,,,,85.49556239999947,,,,2,85.51743320000242,37639.0145016,85.51739870000165,,87.50606420000258,87.54965159999847,87.57216340000014,4,87.57220249999955,37641.0692727,88.75202410000202,88.75206930000422,88.7746277000042,5,88.77465340000344,37642.2717215,92.50213459999941,92.50217500000144,92.51472379999905,6,92.51474749999761,37646.0118154,94.49976179999794,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/both_feet.png,BOTH_MI_STIM,10,10,0,0,10,10,13,94.52328420000413,,,,,,94.49988970000413,,,,2,94.52331799999956,37648.0203864,94.52328420000413,,96.50412109999888,96.55214120000164,96.57432189999963,7,96.5743513999987,37650.0714204,97.75682770000276,97.75688960000116,97.76934230000188,5,97.76937539999926,37651.2664444,101.50201209999796,101.50205110000388,101.52342769999814,6,101.52345230000356,37655.0205199,103.50253279999743,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/both_feet.png,BOTH_MI_STIM,11,11,0,0,11,11,10,103.52500110000256,,,,,,103.50265950000176,,,,2,103.5250337000034,37657.0221019,103.52500110000256,,105.49635600000329,105.53586899999937,105.56059980000282,7,105.56062699999893,37659.0576955,106.75551409999753,106.75555510000413,106.7686165999985,5,106.76864010000281,37660.2657076,110.50168280000071,110.50172269999894,110.51268549999804,6,110.5127113999988,37664.009779,112.50231119999808,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/both_feet.png,BOTH_MI_STIM,12,12,0,0,12,12,14,112.51329629999964,,,,,,112.50245279999945,,,,2,112.51332620000176,37666.0103944,112.51329629999964,,114.4960132999986,114.53350830000272,114.55020840000361,7,114.55023090000032,37668.0472981,115.74994500000321,115.74998649999907,115.77190420000261,5,115.77192790000117,37669.2689955,119.49672139999893,119.49678149999818,119.51822150000226,6,119.51824710000074,37673.0153144,121.50024230000417,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/left_foot.png,LEFT_MI_STIM,13,13,0,0,13,13,0,121.52117250000447,,,,,,121.50040090000402,,,,2,121.52120899999863,37675.0182781,121.52117250000447,,123.50295719999849,123.57636520000233,123.60800720000407,3,123.60804140000255,37677.1051107,124.75014119999832,124.75018740000087,124.77205200000026,5,124.77208830000018,37678.269158,128.50935169999866,128.50943369999732,128.53218570000172,6,128.53220719999808,37682.0292746,130.5034960999983,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/both_feet.png,BOTH_MI_STIM,14,14,0,0,14,14,12,130.51484309999796,,,,,,130.50362609999866,,,,2,130.5148995999989,37684.0119735,130.51484309999796,,132.49603919999936,132.53495510000357,132.5649773999976,7,132.565002000003,37686.0620696,133.75840489999973,133.75848140000016,133.78095400000166,5,133.7809935999976,37687.2780636,137.49955110000155,137.49962699999742,137.5231507999997,6,137.52318930000183,37691.0202592,139.50092310000036,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/left_foot.png,LEFT_MI_STIM,15,0,1,1,0,15,1,139.51185629999964,,,,,,139.50105030000122,,,,2,139.5119085999977,37693.0089816,139.51185629999964,141.56011209999997,141.49444419999782,141.5325754000005,141.56011209999997,3,141.56014259999938,37695.0572102,142.75352209999983,142.75357200000144,142.76631520000228,5,142.76634700000432,37696.2634152,146.5023618999985,146.50240430000122,146.5135541999989,6,146.51357770000322,37700.0106453,148.50377509999817,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,16,1,1,1,1,16,6,148.51748190000217,,,,,,148.50390889999835,,,,2,148.51751119999972,37702.0145788,148.51748190000217,,150.49801899999875,150.53450139999768,150.5583226000017,4,150.55837620000239,37704.0554491,151.74921429999813,151.74932129999797,151.77212169999984,5,151.7721479000029,37705.2692157,155.49826010000106,155.49830600000132,155.51913449999847,6,155.51915970000118,37709.0162274,157.50258929999836,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,17,2,1,1,2,17,7,157.51484229999915,,,,,,157.50271580000117,,,,2,157.5148735000039,37711.0119417,157.51484229999915,,159.4977179999987,159.5350436000008,159.55303200000344,4,159.55305590000353,37713.0501233,160.75030810000317,160.7503488000002,160.77418320000288,5,160.77423750000162,37714.2713079,164.49954789999902,164.4995887000041,164.51112470000226,6,164.51114919999964,37718.0082169,166.50018500000442,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/both_feet.png,BOTH_MI_STIM,18,3,1,1,3,18,11,166.51064210000186,,,,,,166.5003413000013,,,,2,166.51067100000364,37720.0077388,166.51064210000186,,168.49981809999736,168.53779380000196,168.54968689999805,7,168.5497097999978,37722.0467771,169.74664050000138,169.74668170000223,169.78235370000039,5,169.78237829999853,37723.279446,173.49738230000366,173.49742340000375,173.52014780000172,6,173.520171199998,37727.0172381,175.49868050000077,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,19,4,1,1,4,19,8,175.50977430000057,,,,,,175.49883799999952,,,,2,175.5098031000016,37729.0068708,175.50977430000057,177.56582950000302,177.4949106999993,177.53944729999785,177.56582950000302,4,177.5658825999999,37731.0629554,178.74751030000334,178.7475540000014,178.77120470000227,5,178.77123270000448,37732.2683008,182.51239260000148,182.51245930000005,182.53389400000015,6,182.533921000002,37736.0309895,184.50619910000387,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/left_foot.png,LEFT_MI_STIM,20,5,1,1,5,20,4,184.52773990000424,,,,,,184.50640759999806,,,,2,184.5277686000045,37738.0248362,184.52773990000424,,186.49593959999766,186.537244799998,186.56670509999822,3,186.56672919999983,37740.0637967,187.76104669999768,187.7610882000008,187.7838738999999,5,187.78389700000116,37741.2809654,191.5147724999988,191.5148143999977,191.5273548999976,6,191.52737960000377,37745.0244474,193.49650710000424,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/both_feet.png,BOTH_MI_STIM,21,6,1,1,6,21,13,193.50786379999772,,,,,,193.4966349000024,,,,2,193.5078973999989,37747.0049669,193.50786379999772,195.55791519999912,195.49268960000336,195.52954010000394,195.55791519999912,7,195.5579463000031,37749.055014,196.7655287000016,196.76556900000287,196.7772055000023,5,196.77722740000172,37750.2742945,200.51162569999724,200.51166260000173,200.53269079999882,6,200.53271490000043,37754.0297824,202.51622479999787,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/both_feet.png,BOTH_MI_STIM,22,7,1,1,7,22,10,202.52849009999773,,,,,,202.51636200000212,,,,2,202.52852500000154,37756.0255939,202.52849009999773,,204.4972487999985,204.54654840000148,204.57891180000297,7,204.57894040000247,37758.076009,205.7499605999983,205.75000770000042,205.761239200001,5,205.76126479999948,37759.2583323,209.50016850000247,209.50023180000426,209.51055890000134,6,209.51058850000118,37763.0076573,211.51443899999867,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
../stims/both_feet.png,BOTH_MI_STIM,23,8,1,1,8,23,14,211.52476430000388,,,,,,211.51472060000378,,,,2,211.52480730000389,37765.0219076,211.52476430000388,,213.5114812000029,213.5573418999993,213.58576750000066,7,213.5857907000027,37767.0828581,214.745207699998,214.74526989999868,214.76679239999794,5,214.76681909999752,37768.2638873,218.4998040999999,218.49984340000083,218.51163570000062,6,218.51165819999733,37772.0087256,220.51326340000378,,,,,,,TT000,1,2026-09-07_18h37.34.684,Graz,,2025.1.1,None,2026-09-07 18h37.39.170434 -0300,
