img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,image_2.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.06889670000236947,0.06896869999764021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
,,,,,,,,,,,,,0.06900099999620579,0.06904239999857964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,0,0,0,0,0,0,6,0.08896339999773772,,,,,,0.08212919999641599,1,0.088999599996896,38607.6607641,2,0.0890612000002875,38607.6608201,3.071898299996974,5.17880950000108,5.0615405999997165,5.162158599996474,5.17880950000108,4,5.17886659999931,38612.7506346,6.331962399999611,6.332084100002248,6.345283199996629,5,6.34530580000137,38613.9170662,10.073850100001437,10.073913599997468,10.089504700001271,6,10.089527800002543,38617.6612882,12.077383299998473,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,1,1,0,0,1,1,8,12.08921040000132,,,,,,12.077523699997982,,,,2,12.089242599999125,38619.6610037,12.08921040000132,,14.076476299997012,14.117314399998577,14.123324000000139,4,14.123348699999042,38621.6951095,15.327755699996487,15.327795299999707,15.340503999999783,5,15.340527699998347,38622.9122874,19.074666100001195,19.0747046999968,19.08894180000061,6,19.08896470000036,38626.6607254,21.07378189999872,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/left_foot.png,LEFT_MI_STIM,2,2,0,0,2,2,2,21.092123499998706,,,,,,21.073911699997552,,,,2,21.092157599996426,38628.663919,21.092123499998706,,23.074553999998898,23.1109163000001,23.123129899999185,3,23.12315420000232,38630.6949146,24.32364239999879,24.323683399998117,24.341635299999325,5,24.341661899998144,38631.913423,28.07479659999808,28.074834699997155,28.088290300001972,6,28.088313399995968,38635.6600738,30.07787919999828,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,3,3,0,0,3,3,9,30.08959280000272,,,,,,30.07816830000229,,,,2,30.089621599996462,38637.6613824,30.08959280000272,,32.07449949999864,32.11101809999673,32.1260523000019,4,32.12607600000047,38639.6978367,33.32653710000159,33.326582900001085,33.337846599999466,5,33.337870700001076,38640.9096307,37.0735629999981,37.07360070000141,37.08929279999575,6,37.08932030000142,38644.6610808,39.07315799999924,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/both_feet.png,BOTH_MI_STIM,4,4,0,0,4,4,12,39.08831199999986,,,,,,39.073284899997816,,,,2,39.08834260000003,38646.6601034,39.08831199999986,,41.0768259999968,41.127266900002724,41.13752050000039,7,41.137545199999295,38648.7093054,42.32336789999681,42.32340960000147,42.33734749999712,5,42.33737129999645,38649.9091317,46.07156920000125,46.07160809999914,46.09113349999825,6,46.09119759999885,38653.6629683,48.07365910000226,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/left_foot.png,LEFT_MI_STIM,5,5,0,0,5,5,3,48.0920088999992,,,,,,48.07378869999957,,,,2,48.09209230000124,38655.6638651,48.0920088999992,,50.076161500001035,50.11295229999814,50.12163319999672,3,50.12165599999571,38657.6934161,51.32505719999608,51.32509769999888,51.340598700000555,5,51.340623199997935,38658.912384,55.07297870000184,55.073016900001676,55.087755499997,6,55.08777890000056,38662.6595393,57.07268789999944,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/both_feet.png,BOTH_MI_STIM,6,6,0,0,6,6,10,57.087405400001444,,,,,,57.07285630000115,,,,2,57.08743669999967,38664.6591979,57.087405400001444,,59.06954399999813,59.10864659999788,59.123902200000884,7,59.12393029999657,38666.6956911,60.32410630000231,60.32414669999707,60.33857149999676,5,60.33859680000023,38667.9103569,64.0720083999986,64.07204810000258,64.0863090999992,6,64.08633499999996,38671.6580953,66.07510639999964,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/left_foot.png,LEFT_MI_STIM,7,7,0,0,7,7,1,66.0874313999957,,,,,,66.07523660000152,,,,2,66.08746249999967,38673.6592232,66.0874313999957,,68.07222680000268,68.1196237999975,68.13672339999903,3,68.13674979999632,38675.7085113,69.32341240000096,69.32348620000266,69.33575639999617,5,69.33578100000159,38676.9075417,73.0733237999957,73.07336339999893,73.08589200000279,6,73.0859175000005,38680.6576783,75.07451949999813,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
