img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,attempt.stopped,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.08190660000400385,0.08198219999758294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
,,,,,,,,,,,,,0.08201630000257865,0.08205740000266815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,0,0,0,0,0,0,8,0.10061990000394871,,,,,,0.08645850000175415,1,0.10064620000048308,39969.8474237,2,0.10070580000319751,39969.8474792,3.079411999999138,5.179681900001015,5.064080900003319,5.130159899999853,5.179681900001015,4,5.179714999998396,39974.9264924,6.332874200001243,6.332913600002939,6.3454590999972424,5,6.345485500001814,39976.0922619,10.10087129999738,10.079126999997243,10.079158499996993,10.10087129999738,6,10.100905999999668,39979.8476843,12.086982400003762,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,1,1,0,0,1,1,9,12.110985100000107,,,,,,12.087142099997436,,,,2,12.111020399999688,39981.8577974,12.110985100000107,,14.09783630000311,14.135168599997996,14.164319800001977,4,14.16434670000308,39983.9111237,15.354506600000605,15.354548199997225,15.367255700002715,5,15.367276600001787,39985.1140526,,19.09836489999725,19.098413300001994,19.10986910000065,6,19.10989520000294,39988.8566722,21.115424700001313,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,2,2,0,0,2,2,5,21.127692399997613,,,,,,21.115559300000314,,,,2,21.127722999997786,39990.8745003,21.127692399997613,,23.100176599997212,23.13584300000366,23.16678680000041,4,23.166814000003797,39992.9135905,24.337416100002883,24.337456699999166,24.349877200002084,5,24.349902300004032,39994.0966792,,28.098066099999414,28.098105800003395,28.1098290000009,6,28.10985200000141,39997.8566284,30.098107400001027,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/both_feet.png,BOTH_MI_STIM,3,3,0,0,3,3,10,30.11004700000194,,,,,,30.098248900001636,,,,2,30.110108599998057,39999.8568914,30.11004700000194,,32.097184799997194,32.134053000001586,32.16417740000179,7,32.16420430000289,40001.9109809,33.34353440000268,33.34357669999736,33.3661804000003,5,33.36620519999997,40003.1129815,,37.09288160000142,37.09292180000193,37.11464200000046,6,37.11466649999784,40006.8614425,39.082683200002066,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/both_feet.png,BOTH_MI_STIM,4,4,0,0,4,4,13,39.094429600001604,,,,,,39.082872200000565,,,,2,39.09446059999755,40008.8412372,39.094429600001604,41.14590809999936,41.079709300000104,41.11637260000134,41.14590809999936,7,41.14594329999818,40010.8927203,42.344153899997764,42.344194700002845,42.36696150000353,5,42.36698500000057,40012.1137611,,46.11360959999729,46.11365140000271,46.12620980000065,6,46.1262338000015,40015.8730104,48.09629290000157,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/both_feet.png,BOTH_MI_STIM,5,5,0,0,5,5,14,48.11791059999814,,,,,,48.09649889999855,,,,2,48.11794640000153,40017.8647235,48.11791059999814,,50.093055500001356,50.129771300002176,50.1758209000036,7,50.175844700002926,40019.9226217,51.34430660000362,51.34437060000346,51.36681110000063,5,51.36684680000326,40021.1136262,,55.0962206999975,55.0962589999981,55.118867899996985,6,55.118892600003164,40024.8656695,57.0969408000019,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/left_foot.png,LEFT_MI_STIM,6,6,0,0,6,6,4,57.10844609999913,,,,,,57.09706939999887,,,,2,57.10848390000319,40026.8552616,57.10844609999913,,59.09271950000402,59.12917279999965,59.14862659999926,3,59.14864890000172,40028.8954256,60.339475000000675,60.339528000004066,60.36434770000051,5,60.36437979999755,40030.1111591,,64.09229600000253,64.09233669999958,64.11402049999742,6,64.11404320000293,40033.86082,66.10043350000342,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,7,7,0,0,7,7,7,66.11293219999789,,,,,,66.10063159999845,,,,2,66.11296240000229,40035.859739,66.11293219999789,,68.09638950000226,68.13271859999804,68.15038279999862,4,68.15040630000294,40037.8971824,69.34689819999767,69.34694709999894,69.35935869999958,5,69.35938229999738,40039.1061586,,73.09124370000063,73.09128439999768,73.1126202000014,6,73.11264510000183,40042.8594216,75.098877299999,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
