iso_time,lsl_time_s,code,label
2025-08-24T23:26:01.849,917154.712364,4,RIGHT_MI_STIM
2025-08-24T23:26:03.047,917155.910224,5,ATTEMPT
2025-08-24T23:26:06.798,917159.660959,6,REST
2025-08-24T23:26:07.797,917160.659819,2,ATTENTION
2025-08-24T23:26:09.847,917162.710433,3,LEFT_MI_STIM
2025-08-24T23:26:11.047,917163.909871,5,ATTEMPT
2025-08-24T23:26:14.797,917167.660318,6,REST
2025-08-24T23:26:15.796,917168.659209,2,ATTENTION
2025-08-24T23:26:17.830,917170.693038,3,LEFT_MI_STIM
2025-08-24T23:26:19.046,917171.909444,5,ATTEMPT
2025-08-24T23:26:22.779,917175.642032,6,REST
2025-08-24T23:26:23.779,917176.641812,2,ATTENTION
2025-08-24T23:26:25.831,917178.694193,4,RIGHT_MI_STIM
2025-08-24T23:26:27.046,917179.908960,5,ATTEMPT
2025-08-24T23:26:30.796,917183.659157,6,REST
2025-08-24T23:26:31.796,917184.658611,2,ATTENTION
2025-08-24T23:26:33.830,917186.693475,4,RIGHT_MI_STIM
2025-08-24T23:26:35.045,917187.908427,5,ATTEMPT
2025-08-24T23:26:38.796,917191.659011,6,REST
2025-08-24T23:26:39.795,917192.658226,2,ATTENTION
2025-08-24T23:26:41.836,917194.698701,4,RIGHT_MI_STIM
2025-08-24T23:26:43.046,917195.908953,5,ATTEMPT
2025-08-24T23:26:46.787,917199.649635,6,REST
2025-08-24T23:26:47.795,917200.658448,2,ATTENTION
2025-08-24T23:26:49.830,917202.693083,4,RIGHT_MI_STIM
2025-08-24T23:26:51.049,917203.911724,5,ATTEMPT
2025-08-24T23:26:54.796,917207.658701,6,REST
2025-08-24T23:26:55.795,917208.658356,2,ATTENTION
2025-08-24T23:26:57.828,917210.691137,3,LEFT_MI_STIM
2025-08-24T23:26:59.045,917211.908181,5,ATTEMPT
2025-08-24T23:27:02.795,917215.658320,6,REST
2025-08-24T23:27:03.795,917216.658014,2,ATTENTION
2025-08-24T23:27:05.828,917218.690675,3,LEFT_MI_STIM
2025-08-24T23:27:07.044,917219.907521,5,ATTEMPT
2025-08-24T23:27:10.795,917223.657758,6,REST
2025-08-24T23:27:11.794,917224.657443,2,ATTENTION
2025-08-24T23:27:13.828,917226.690652,3,LEFT_MI_STIM
2025-08-24T23:27:15.044,917227.907587,5,ATTEMPT
2025-08-24T23:27:18.794,917231.657387,6,REST
2025-08-24T23:27:19.794,917232.656826,2,ATTENTION
2025-08-24T23:27:21.828,917234.690669,3,LEFT_MI_STIM
2025-08-24T23:27:23.044,917235.906977,5,ATTEMPT
2025-08-24T23:27:26.796,917239.658825,6,REST
2025-08-24T23:27:27.793,917240.656557,2,ATTENTION
2025-08-24T23:27:29.828,917242.690841,3,LEFT_MI_STIM
2025-08-24T23:27:31.045,917243.908214,5,ATTEMPT
2025-08-24T23:27:34.794,917247.656685,6,REST
2025-08-24T23:27:35.793,917248.656267,2,ATTENTION
2025-08-24T23:27:37.843,917250.706359,4,RIGHT_MI_STIM
2025-08-24T23:27:39.043,917251.906158,5,ATTEMPT
2025-08-24T23:27:42.793,917255.655984,6,REST
2025-08-24T23:27:43.793,917256.656104,2,ATTENTION
